yyyymm,intermediary_capital_ratio,intermediary_capital_risk_factor,intermediary_value_weighted_investment_return,intermediary_leverage_ratio_squared
201609,0.05806436983137189,-0.022273364302285364,-0.032019348287385396,296.6064329115472
201610,0.0604888429658239,0.041219004806437386,0.06262389766930987,273.3061757056205
201611,0.06726750056314144,0.11221757171743679,0.13450943628343004,220.9985467854463
201612,0.07060220620821815,0.05138936023706874,0.05811608753431763,200.61502461962544
201701,0.07499556707253285,0.06474325769111061,0.007894993989087107,177.7987950009602
201702,0.07664262799484296,0.02530646720928516,0.03506525394932991,170.23906460533277
201703,0.07420417959419087,-0.028185495652309905,-0.013598821264713346,181.61146605893472
201704,0.07387669413632256,-0.0012108656996243224,-0.006780266923697598,183.22515322801368
201705,0.0721421241519751,-0.020336439769031378,-0.020816914043857326,192.1419300915639
201706,0.07592870064601231,0.05530575129546214,0.06051888609719569,173.4554955797505
201707,0.07656998023273762,0.011953708846327718,0.011551265658239052,170.56225533926101
201708,0.07525565140005115,-0.013547092214727153,-0.01759875944225542,176.57196959776886
201709,0.07906143560144792,0.05396175372996109,0.054435558340390156,159.98181072438146
201710,0.07919209869521364,0.005681376324981931,0.03429921131593017,159.45432190611203
201711,0.08018027082710509,0.01652769104916997,0.016824799291028647,155.54819014358267
201712,0.08257706115111604,0.03409735631340965,0.02837819726092805,146.64969184378765
201801,0.08769874859575853,0.06658922489420512,0.05346133233252082,130.02091182441018
201802,0.08391351359250872,-0.03788989372075509,-0.028288591630226234,142.01564410130945
201803,0.07907613198098871,-0.05288865232585823,-0.058812958956946715,159.92235068583358
201804,0.07673562715107246,-0.025567075526891456,0.008384023175999067,169.82667478946132
201805,0.07429417607682987,-0.028170285930639853,-0.017350257116973133,181.17174131605762
201806,0.07317607884363869,-0.011830866734580583,-0.011560221738328491,186.75048225263205
201807,0.0785016696797833,0.07579123785147825,0.06375777461970378,162.27148553610485
201808,0.07684983416778846,-0.01710335302617371,-0.014034668102889447,169.32228889752957
201809,0.07547408170300235,-0.014236390282182732,-0.020446836032228632,175.551411097268
201810,0.07095486704627568,-0.05644897753003536,-0.04476119121381317,198.62578140985434
201811,0.07067593578155994,-0.001344558550858956,0.0034587289834819845,200.196677275777
201812,0.06420062583900644,-0.08908868627562745,-0.10568794059388531,242.6171387464276
201901,0.06946154809122651,0.08305187598758168,0.09226980977304233,207.2578952917203
201902,0.0697504367147696,0.006443146649183899,0.014805952746580475,205.54463130336032
201903,0.0672560801794374,-0.03341747957451836,-0.03005817396250432,221.07360624414068
201904,0.07057374348500756,0.051141864106346316,0.09120395061704634,200.7768752195972
201905,0.06378709464848879,-0.0936533403342986,-0.09145716563286466,245.77310542749072
201906,0.06770058142982537,0.06235839803057988,0.05827433913657143,218.18013338992114
201907,0.06672529483297578,-0.012495416833473754,0.02511250929643216,224.60478130011634
201908,0.06230203868082344,-0.06459554084361609,-0.058687069106431955,257.6294366035306
201909,0.06569194097187317,0.05504391567922126,0.06992335876839317,231.72655867338165
201910,0.0671619931825656,0.023837703048766,0.03416005536434996,221.6934425575669
201911,0.06947213161180761,0.03618876738753173,0.04873211167555458,207.19475195446842
201912,0.0735037873510763,0.060319068821411866,0.027675677658690168,185.08898158968844
202001,0.06914156879847384,-0.056272569192773826,-0.04373616483443277,209.18066599306303
202002,0.06098703214095961,-0.11572202668833428,-0.10989346394905619,268.8592613075702
202003,0.04273269362174888,-0.29902733113001945,-0.22402607404080666,547.6202028901549
202004,0.04466874179644991,0.03860359139275446,0.06230023426804121,501.17864847078914
202005,0.044901109587525384,-0.00048819078090167573,0.00800089495441969,496.00477031262625
202006,0.045528119585774865,0.00838965029741323,0.019134758718963196,482.4369612983678
202007,0.04552628461029586,-0.005308800859914672,0.00011616218071264228,482.4758521431754
202008,0.04774153464046074,0.04338932436687571,0.04442717988494027,438.74001890092154
202009,0.04378250945621077,-0.08717845621882135,-0.06415492985345939,521.673408399377
202010,0.04387568565524897,-0.004014286625569104,0.001589174708913843,519.46006713193
202011,0.05352322514290704,0.21378946284767722,0.22391406009768366,349.07235056287175
202012,0.05570268603559128,0.03872574011101925,0.06234016934912057,322.29066345279654
202101,0.05507786854114942,-0.012481635541196487,-0.005587295173098861,329.64443595105996
202102,0.06209580950996718,0.12595065647533676,0.13786394348780417,259.34352755104106
202103,0.06408006690326082,0.032534711449617296,0.05752700098772623,243.53090742107332
202104,0.06631448236255531,0.035946718674124745,0.039058832392151244,227.39621525184248
202105,0.07031807887316802,0.061975233343622115,0.06245429813976333,202.23951069214553
202106,0.0670882436997803,-0.04347260900599823,-0.03178528689246074,222.18112154280078
202107,0.0656002918816644,-0.02040310584261245,-0.020882962718410836,232.37449370449133
202108,0.06759563871059664,0.0318552470831444,0.04746289815853344,218.85811174305223
202109,0.06687134074320597,-0.008827578503496409,0.0006603442319690345,223.62478630727398
202110,0.07061547395671706,0.05771777111057143,0.0678949034327554,200.53964568376486
202111,0.06591104198924268,-0.06410146134236959,-0.05635464112067479,230.18851175267733
202112,0.06873097981046515,0.03856974639532414,0.024073557314860272,211.6873614401944
202201,0.07016306623542333,0.02291821758530428,0.036084832330804284,203.13412127357583
202202,0.06707898349762419,-0.038569406965357496,-0.04111575612334617,222.2424696434315
202203,0.0630990449718986,-0.05057608454950207,-0.031729873490224714,251.1622863594264
202204,0.05670794196390188,-0.09943864425337824,-0.08348752420039651,310.96551329208046
202205,0.05998797317470285,0.0546711175635376,0.06315951201699943,277.8891707627501
202206,0.054055104243078474,-0.09857230696608242,-0.1246176497197179,342.23670158139015
202207,0.05648930233661593,0.04283533671315608,0.05290058957812516,313.37733132586897
202208,0.055064383612793595,-0.030138821575506767,-0.007100463016118663,329.80591150440046
202209,0.05098220866895084,-0.0733693780892627,-0.07037734717115796,384.7358956228021
202210,0.05638922340492782,0.10004012958635126,0.1118176416280896,314.49067524193714
202211,0.06096260377326183,0.07847891492149901,0.07692818499868936,269.07477404423275
202212,0.05806437994607965,-0.045952259779726175,-0.05759971628225835,296.6063295749706
202301,0.06420366731499277,0.10411271287542952,0.09789985635988363,242.59415262261635
202302,0.06353080039024822,-0.011643975136161895,0.0009042391104105985,247.76008787149323
202303,0.056186418902311304,-0.11096270699774305,-0.10736667431588875,316.76507653624145
202304,0.05797065971113818,0.029443916052939372,0.04049119415904001,297.56614218823853
202305,0.055103040688778866,-0.05535857563705171,-0.035822706981667674,329.34332868034625
202306,0.05710509462849736,0.037692791435057584,0.05069938608684477,306.6551685363387
202307,0.060638884069483194,0.06054494592174783,0.07141926230374662,271.9553451922314
202308,0.05640093212317501,-0.06965562263722284,-0.05792864754838023,314.3601135525468
202309,0.055492831118911304,-0.016667672074555967,-0.006220578837140778,324.7328587354228
202310,0.052065990494740526,-0.06637676534784755,-0.0571012266784946,368.8856240142622
202311,0.05776676847745475,0.1055232368409197,0.11046351977829327,299.67040388077186
202312,0.06355521588508192,0.10573893203413556,0.09603875349829849,247.5697644455444
202401,0.06300831654207711,-0.016958453012453033,0.0077119473206033184,251.88612624359223
202402,0.06396628053290339,0.016016464052500963,0.026927246531249338,244.39808757266547
202403,0.06838069800612379,0.07006152933144413,0.08116591557803021,213.8616635832948
202404,0.06639793100315101,-0.026938924221416628,-0.006972863508347804,226.82499321723938
202405,0.06959010939834263,0.0496977375163813,0.05666029167554698,206.4928229632021
202406,0.06828884314027614,-0.016388294461711795,-0.015462379902349,214.43737830267102
202407,0.0715256311943435,0.049435939171409635,0.04727660417440016,195.46841974681075
202408,0.07202530895663273,0.009684781684001324,0.00871257615541321,192.7656913460615
202409,0.06924992622070317,-0.0357378543340096,-0.01243845830493262,208.52655570924622
202410,0.07094023240699271,0.02664904912469041,0.054760362039454114,198.70774100868726
202411,0.07741594632652449,0.0938677291666353,0.10629201616196227,166.8549695736102
202412,0.07759571867233558,0.006082560599259069,-0.027586342815367648,166.0827320632079
202501,0.08454855816621862,0.09339365538447048,0.09951793947215637,139.8902957473306
202501,0.08263529114219348,0.0038054709045613412,-0.0030708159840897586,146.4430875847966
202502,0.08265912617004512,0.004863051723025084,0.0013522939393688649,146.35864508006543
202503,0.07447674079161518,-0.09441139997911645,-0.06610588106703574,180.28461795681864
202504,0.07385266160750588,-0.005127862337344414,-0.00921598707322202,183.34441989037455
202505,0.07909851795467653,0.07416980098512276,0.08326080917564349,159.83184302450474
