"Name","Obs","F","Dates","Comments"
"FYFF",511,"M","1959:01  2001:07","INTEREST RATE: FEDERAL FUNDS (EFFECTIVE) (% PER ANNUM,NSA)"
"FYGM3",511,"M","1959:01  2001:07","INTEREST RATE: U.S.TREASURY BILLS,SEC MKT,3-MO.(% PER ANN,NSA)"
"FYGM6",511,"M","1959:01  2001:07","INTEREST RATE: U.S.TREASURY BILLS,SEC MKT,6-MO.(% PER ANN,NSA)"
"FYGT1",511,"M","1959:01  2001:07","INTEREST RATE: U.S.TREASURY CONST MATUR. ,1-YR.(% PER ANN,NSA)"
"FYGT5",511,"M","1959:01  2001:07","INTEREST RATE: U.S.TREASURY CONST MATUR., 5-YR.(% PER ANN,NSA)"
"FYGT10",511,"M","1959:01  2001:07","INTEREST RATE: U.S.TREASURY CONST MATUR.,10-YR.(% PER ANN,NSA)"
"FYAAAC",511,"M","1959:01  2001:07","BOND YIELD: MOODY'S AAA CORPORATE (% PER ANNUM)"
"FYBAAC",511,"M","1959:01  2001:07","BOND YIELD: MOODY'S BAA CORPORATE (% PER ANNUM)"
"SFYGM3",511,"M","1959:01  2001:07","Spread FYGM3 - FYFF"
"SFYGM6",511,"M","1959:01  2001:07","Spread FYGM6 - FYFF"
"SFYGT1",511,"M","1959:01  2001:07","Spread FYGT1 - FYFF"
"SFYGT5",511,"M","1959:01  2001:07","Spread FYGT5 - FYFF"
"SFYGT10",511,"M","1959:01  2001:07","Spread FYGT10 - FYFF"
"SFYAAAC",511,"M","1959:01  2001:07","Spread FYAAAC - FYFF"
"SFYBAAC",511,"M","1959:01  2001:07","Spread FYBAAC - FYFF"
"FM1",511,"M","1959:01  2001:07","MONEY STOCK: M1 (BIL$,SA)"
"FM2",511,"M","1959:01  2001:07","MONEY STOCK:M2 (BIL$, SA)"
"FM3",511,"M","1959:01  2001:07","MONEY STOCK: M3 (BIL$,SA)"
"FM2DQ",511,"M","1959:01  2001:07","MONEY SUPPLY - M2 IN 1992 DOLLARS (BCI)"
"FMFBA",511,"M","1959:01  2001:07","MONETARY BASE, ADJ FOR RESERVE REQUIREMENT CHANGES(MIL$,SA)"
"FMRRA",511,"M","1959:01  2001:07","DEPOSITORY INST RESERVES:TOTAL,ADJ FOR RES. REQ CHGS(MIL$,SA)"
"FMRNBA",511,"M","1959:01  2001:07","DEPOSITORY INST RESERVES:NONBOR. ,ADJ RES REQ CHGS(MIL$,SA)"
"FCLNQ",511,"M","1959:01  2001:07","OMMERCIAL & INDUST. LOANS OUSTANDING IN 1992 DOLLARS (BCI"
"FCLBMC",511,"M","1959:01  2001:07","WKLY RP LG COM. BANKS: NET CHANGE COM & IND. LOANS(BIL$,SAAR)"
"CCINRV",511,"M","1959:01  2001:07","CONSUMER CREDIT OUTSTANDING NONREVOLVING G19"
"PMCP",511,"M","1959:01  2001:07","NAPM COMMODITY PRICES INDEX (PERCENT)"
"PWFSA",511,"M","1959:01  2001:07","PRODUCER PRICE INDEX: FINISHED GOODS (82=100,SA)"
"PWFCSA",511,"M","1959:01  2001:07","PRODUCER PRICE INDEX:FINISHED CONSUMER GOODS (82=100,SA)"
"PWIMSA",511,"M","1959:01  2001:07","PRODUCER PRICE INDEX:INTERMED MAT.SUP & COMPONENTS(82=100,SA)"
"PWCMSA",511,"M","1959:01  2001:07","PRODUCER PRICE INDEX:CRUDE MATERIALS (82=100,SA)"
"PSM99Q",511,"M","1959:01  2001:07","INDEX OF SENSITIVE MATERIALS PRICES (1990=100)(BCI-99A)"
"PUNEW",511,"M","1959:01  2001:07","CPI-U: ALL ITEMS (82-84=100,SA)"
"PU83",511,"M","1959:01  2001:07","CPI-U: APPAREL & UPKEEP (82-84=100,SA)"
"PU84",511,"M","1959:01  2001:07","CPI-U: TRANSPORTATION (82-84=100,SA)"
"PU85",511,"M","1959:01  2001:07","CPI-U: MEDICAL CARE (82-84=100,SA)"
"PUC",511,"M","1959:01  2001:07","CPI-U: COMMODITIES (82-84=100,SA)"
"PUCD",511,"M","1959:01  2001:07","CPI-U: DURABLES (82-84=100,SA)"
"PUS",511,"M","1959:01  2001:07","CPI-U: SERVICES (82-84=100,SA)"
"PUXF",511,"M","1959:01  2001:07","CPI-U: ALL ITEMS LESS FOOD (82-84=100,SA)"
"PUXHS",511,"M","1959:01  2001:07","CPI-U: ALL ITEMS LESS SHELTER (82-84=100,SA)"
"PUXM",511,"M","1959:01  2001:07","CPI-U: ALL ITEMS LESS MIDICAL CARE (82-84=100,SA)"
"LEHCC",511,"M","1959:01  2001:07","AVG HR EARNINGS OF CONSTR WKRS: CONSTRUCTION ($,SA)"
"LEHM",511,"M","1959:01  2001:07","AVG HR EARNINGS OF PROD WKRS: MANUFACTURING ($,SA)"
"HHSNTN",511,"M","1959:01  2001:07","U. OF MICH. INDEX OF CONSUMER EXPECTATIONS(BCD-83)"
