dataset,variable,description
chks2014,am_teenage_birth,Predicted teenage birth rate (females) for a child with parent at the 25th percentile
chks2014,rm_teenage_birth,Slope of teenage birth (females) on parent income rank
chks2014,am_females,"Absolute upward mobility, female children"
chks2014,rm_females,"Relative mobility, female children"
chks2014,am_males,"Absolute upward mobility, male children"
chks2014,rm_males,"Relative mobility, male children"
chks2014,am_males_individual_income,"Absolute upward mobility, male children, using individual (not family) income rank"
chks2014,rm_males_individual_income,"Relative mobility, male children, using individual (not family) income rank"
chks2014,am_cost_of_living_adjusted,"Absolute upward mobility, deflated by CZ cost of living"
chks2014,rm_cost_of_living_adjusted,"Relative mobility, deflated by CZ cost of living"
chks2014,am_2011_2012_parent_income,Absolute upward mobility using mean 2011-2012 parent family income
chks2014,rm_2011_2012_parent_income,Relative mobility using mean 2011-2012 parent family income
chks2014,am_single_parents,"Absolute upward mobility, children of single parents"
chks2014,rm_single_parents,"Relative mobility, children of single parents"
chks2014,am_married_parents,"Absolute upward mobility, children of married parents"
chks2014,rm_married_parents,"Relative mobility, children of married parents"
chks2014,am_83_85_cohort,"Absolute upward mobility, 1983-85 birth cohorts"
chks2014,rm_83_85_cohort,"Relative mobility, 1983-85 birth cohorts"
chks2014,am_80_85_cohort,"Absolute upward mobility, 1980-85 birth cohorts"
chks2014,rm_80_85_cohort,"Relative mobility, 1980-85 birth cohorts"
chks2014,am_white_80_zips,Absolute upward mobility restricted to ZIP codes with >80% white residents
chks2014,rm_white_80_zips,Relative mobility restricted to ZIP codes with >80% white residents
chks2014,am_poverty_line,Predicted share of children above the poverty line for a child with parent at the 25th percentile
chks2014,rm_poverty_line,Slope of being above the poverty line on parent income rank
chks2014,am_college_quality,Predicted college-quality rank for a child with parent at the 25th percentile
chks2014,rm_college_quality,Difference in predicted college-quality rank between children with parents at the 75th and 25th percentiles
ps2003,p90_100,Share of income held by the top 10% (P90-100)
ps2003,p95_100,Share of income held by the top 5% (P95-100)
ps2003,p99_100,Share of income held by the top 1% (P99-100)
ps2003,p99_5_100,Share of income held by the top 0.5% (P99.5-100)
ps2003,p99_9_100,Share of income held by the top 0.1% (P99.9-100)
ps2003,p99_99_100,Share of income held by the top 0.01% (P99.99-100)
ps2003,p90_95,Share of income held by P90-95 (bottom half of the top decile)
ps2003,p95_99,Share of income held by P95-99
ps2003,p99_99_5,Share of income held by P99-99.5
ps2003,p99_5_99_9,Share of income held by P99.5-99.9
ps2003,p99_9_99_99,Share of income held by P99.9-99.99
