"date","country","distress"
1969-01-01,"Italy",0
1969-01-01,"Japan",0
1969-01-01,"Korea",
1969-01-01,"Luxembourg",0
1969-01-01,"Mexico",
1969-01-01,"Netherlands",0
1969-01-01,"New Zealand",
1969-01-01,"Norway",0
1969-01-01,"Poland",
1969-01-01,"Portugal",0
1969-01-01,"Slovak Republic",
1969-01-01,"Spain",0
1969-01-01,"Sweden",0
1969-01-01,"Switzerland",0
1969-01-01,"Turkey",0
1969-01-01,"United Kingdom",0
1969-01-01,"United States",0
1969-07-01,"Australia",
1969-07-01,"Austria",0
1969-07-01,"Belgium",0
1969-07-01,"Canada",0
1969-07-01,"Czech Republic",
1969-07-01,"Denmark",0
1969-07-01,"Finland",0
1969-07-01,"France",0
1969-07-01,"Germany",0
1969-07-01,"Greece",0
1969-07-01,"Hungary",
1969-07-01,"Iceland",0
1969-07-01,"Ireland",0
1969-07-01,"Italy",0
1969-07-01,"Japan",0
1969-07-01,"Korea",
1969-07-01,"Luxembourg",0
1969-07-01,"Mexico",
1969-07-01,"Netherlands",0
1969-07-01,"New Zealand",
1969-07-01,"Norway",0
1969-07-01,"Poland",
1969-07-01,"Portugal",0
1969-07-01,"Slovak Republic",
1969-07-01,"Spain",0
1969-07-01,"Sweden",0
1969-07-01,"Switzerland",0
1969-07-01,"Turkey",0
1969-07-01,"United Kingdom",0
1969-07-01,"United States",0
1970-01-01,"Australia",
1970-01-01,"Austria",0
1970-01-01,"Belgium",0
1970-01-01,"Canada",0
1970-01-01,"Czech Republic",
1970-01-01,"Denmark",0
1970-01-01,"Finland",0
1970-01-01,"France",0
1970-01-01,"Germany",0
1970-01-01,"Greece",0
1970-01-01,"Hungary",
1970-01-01,"Iceland",0
1970-01-01,"Ireland",0
1970-01-01,"Italy",0
1970-01-01,"Japan",0
1970-01-01,"Korea",
1970-01-01,"Luxembourg",0
1970-01-01,"Mexico",
1970-01-01,"Netherlands",0
1970-01-01,"New Zealand",
1970-01-01,"Norway",0
1970-01-01,"Poland",
1970-01-01,"Portugal",0
1970-01-01,"Slovak Republic",
1970-01-01,"Spain",0
1970-01-01,"Sweden",0
1970-01-01,"Switzerland",0
1970-01-01,"Turkey",0
1970-01-01,"United Kingdom",0
1970-01-01,"United States",0
1970-07-01,"Australia",
1970-07-01,"Austria",0
1970-07-01,"Belgium",0
1970-07-01,"Canada",0
1970-07-01,"Czech Republic",
1970-07-01,"Denmark",0
1970-07-01,"Finland",0
1970-07-01,"France",0
1970-07-01,"Germany",0
1970-07-01,"Greece",0
1970-07-01,"Hungary",
1970-07-01,"Iceland",0
1970-07-01,"Ireland",0
1970-07-01,"Italy",0
1970-07-01,"Japan",0
1970-07-01,"Korea",
1970-07-01,"Luxembourg",0
1970-07-01,"Mexico",
1970-07-01,"Netherlands",0
1970-07-01,"New Zealand",
1970-07-01,"Norway",0
1970-07-01,"Poland",
1970-07-01,"Portugal",0
1970-07-01,"Slovak Republic",
1970-07-01,"Spain",0
1970-07-01,"Sweden",0
1970-07-01,"Switzerland",0
1970-07-01,"Turkey",0
1970-07-01,"United Kingdom",0
1970-07-01,"United States",0
1971-01-01,"Australia",
1971-01-01,"Austria",0
1971-01-01,"Belgium",0
1971-01-01,"Canada",0
1971-01-01,"Czech Republic",
1971-01-01,"Denmark",0
1971-01-01,"Finland",0
1971-01-01,"France",0
1971-01-01,"Germany",0
1971-01-01,"Greece",0
1971-01-01,"Hungary",
1971-01-01,"Iceland",0
1971-01-01,"Ireland",0
1971-01-01,"Italy",0
1971-01-01,"Japan",0
1971-01-01,"Korea",
1971-01-01,"Luxembourg",0
1971-01-01,"Mexico",
1971-01-01,"Netherlands",0
1971-01-01,"New Zealand",
1971-01-01,"Norway",0
1971-01-01,"Poland",
1971-01-01,"Portugal",0
1971-01-01,"Slovak Republic",
1971-01-01,"Spain",0
1971-01-01,"Sweden",0
1971-01-01,"Switzerland",0
1971-01-01,"Turkey",0
1971-01-01,"United Kingdom",0
1971-01-01,"United States",0
1971-07-01,"Australia",0
1971-07-01,"Austria",0
1971-07-01,"Belgium",0
1971-07-01,"Canada",0
1971-07-01,"Czech Republic",
1971-07-01,"Denmark",0
1971-07-01,"Finland",0
1971-07-01,"France",0
1971-07-01,"Germany",0
1971-07-01,"Greece",0
1971-07-01,"Hungary",
1971-07-01,"Iceland",0
1971-07-01,"Ireland",0
1971-07-01,"Italy",0
1971-07-01,"Japan",0
1971-07-01,"Korea",
1971-07-01,"Luxembourg",0
1971-07-01,"Mexico",
1971-07-01,"Netherlands",0
1971-07-01,"New Zealand",
1971-07-01,"Norway",0
1971-07-01,"Poland",
1971-07-01,"Portugal",0
1971-07-01,"Slovak Republic",
1971-07-01,"Spain",0
1971-07-01,"Sweden",0
1971-07-01,"Switzerland",0
1971-07-01,"Turkey",0
1971-07-01,"United Kingdom",0
1971-07-01,"United States",0
1972-01-01,"Australia",0
1972-01-01,"Austria",0
1972-01-01,"Belgium",0
1972-01-01,"Canada",0
1972-01-01,"Czech Republic",
1972-01-01,"Denmark",0
1972-01-01,"Finland",0
1972-01-01,"France",0
1972-01-01,"Germany",0
1972-01-01,"Greece",0
1972-01-01,"Hungary",
1972-01-01,"Iceland",0
1972-01-01,"Ireland",0
1972-01-01,"Italy",0
1972-01-01,"Japan",0
1972-01-01,"Korea",
1972-01-01,"Luxembourg",0
1972-01-01,"Mexico",
1972-01-01,"Netherlands",0
1972-01-01,"New Zealand",
1972-01-01,"Norway",0
1972-01-01,"Poland",
1972-01-01,"Portugal",0
1972-01-01,"Slovak Republic",
1972-01-01,"Spain",0
1972-01-01,"Sweden",0
1972-01-01,"Switzerland",0
1972-01-01,"Turkey",0
1972-01-01,"United Kingdom",0
1972-01-01,"United States",0
1972-07-01,"Australia",0
1972-07-01,"Austria",0
1972-07-01,"Belgium",0
1972-07-01,"Canada",0
1972-07-01,"Czech Republic",
1972-07-01,"Denmark",0
1972-07-01,"Finland",0
1972-07-01,"France",0
1972-07-01,"Germany",0
1972-07-01,"Greece",0
1972-07-01,"Hungary",
1972-07-01,"Iceland",0
1972-07-01,"Ireland",0
1972-07-01,"Italy",0
1972-07-01,"Japan",0
1972-07-01,"Korea",
1972-07-01,"Luxembourg",0
1972-07-01,"Mexico",
1972-07-01,"Netherlands",0
1972-07-01,"New Zealand",
1972-07-01,"Norway",0
1972-07-01,"Poland",
1972-07-01,"Portugal",0
1972-07-01,"Slovak Republic",
1972-07-01,"Spain",0
1972-07-01,"Sweden",0
1972-07-01,"Switzerland",0
1972-07-01,"Turkey",0
1972-07-01,"United Kingdom",0
1972-07-01,"United States",0
1973-01-01,"Australia",0
1973-01-01,"Austria",0
1973-01-01,"Belgium",0
1973-01-01,"Canada",0
1973-01-01,"Czech Republic",
1973-01-01,"Denmark",0
1973-01-01,"Finland",0
1973-01-01,"France",0
1973-01-01,"Germany",0
1973-01-01,"Greece",0
1973-01-01,"Hungary",
1973-01-01,"Iceland",0
1973-01-01,"Ireland",0
1973-01-01,"Italy",0
1973-01-01,"Japan",0
1973-01-01,"Korea",
1973-01-01,"Luxembourg",0
1973-01-01,"Mexico",
1973-01-01,"Netherlands",0
1973-01-01,"New Zealand",0
1973-01-01,"Norway",0
1973-01-01,"Poland",
1973-01-01,"Portugal",0
1973-01-01,"Slovak Republic",
1973-01-01,"Spain",0
1973-01-01,"Sweden",0
1973-01-01,"Switzerland",0
1973-01-01,"Turkey",0
1973-01-01,"United Kingdom",0
1973-01-01,"United States",0
1973-07-01,"Australia",0
1973-07-01,"Austria",0
1973-07-01,"Belgium",0
1973-07-01,"Canada",0
1973-07-01,"Czech Republic",
1973-07-01,"Denmark",0
1973-07-01,"Finland",0
1973-07-01,"France",0
1973-07-01,"Germany",0
1973-07-01,"Greece",0
1973-07-01,"Hungary",
1973-07-01,"Iceland",0
1973-07-01,"Ireland",0
1973-07-01,"Italy",0
1973-07-01,"Japan",0
1973-07-01,"Korea",
1973-07-01,"Luxembourg",0
1973-07-01,"Mexico",
1973-07-01,"Netherlands",0
1973-07-01,"New Zealand",0
1973-07-01,"Norway",0
1973-07-01,"Poland",
1973-07-01,"Portugal",0
1973-07-01,"Slovak Republic",
1973-07-01,"Spain",0
1973-07-01,"Sweden",0
1973-07-01,"Switzerland",0
1973-07-01,"Turkey",0
1973-07-01,"United Kingdom",0
1973-07-01,"United States",0
1974-01-01,"Australia",0
1974-01-01,"Austria",0
1974-01-01,"Belgium",0
1974-01-01,"Canada",0
1974-01-01,"Czech Republic",
1974-01-01,"Denmark",0
1974-01-01,"Finland",0
1974-01-01,"France",0
1974-01-01,"Germany",0
1974-01-01,"Greece",0
1974-01-01,"Hungary",
1974-01-01,"Iceland",0
1974-01-01,"Ireland",0
1974-01-01,"Italy",0
1974-01-01,"Japan",0
1974-01-01,"Korea",
1974-01-01,"Luxembourg",0
1974-01-01,"Mexico",
1974-01-01,"Netherlands",0
1974-01-01,"New Zealand",0
1974-01-01,"Norway",0
1974-01-01,"Poland",
1974-01-01,"Portugal",0
1974-01-01,"Slovak Republic",
1974-01-01,"Spain",0
1974-01-01,"Sweden",0
1974-01-01,"Switzerland",0
1974-01-01,"Turkey",0
1974-01-01,"United Kingdom",0
1974-01-01,"United States",0
1974-07-01,"Australia",0
1974-07-01,"Austria",0
1974-07-01,"Belgium",0
1974-07-01,"Canada",0
1974-07-01,"Czech Republic",
1974-07-01,"Denmark",0
1974-07-01,"Finland",0
1974-07-01,"France",0
1974-07-01,"Germany",2
1974-07-01,"Greece",0
1974-07-01,"Hungary",
1974-07-01,"Iceland",0
1974-07-01,"Ireland",0
1974-07-01,"Italy",0
1974-07-01,"Japan",0
1974-07-01,"Korea",
1974-07-01,"Luxembourg",0
1974-07-01,"Mexico",
1974-07-01,"Netherlands",0
1974-07-01,"New Zealand",0
1974-07-01,"Norway",0
1974-07-01,"Poland",
1974-07-01,"Portugal",0
1974-07-01,"Slovak Republic",
1974-07-01,"Spain",0
1974-07-01,"Sweden",0
1974-07-01,"Switzerland",0
1974-07-01,"Turkey",0
1974-07-01,"United Kingdom",0
1974-07-01,"United States",0
1975-01-01,"Australia",0
1975-01-01,"Austria",0
1975-01-01,"Belgium",0
1975-01-01,"Canada",0
1975-01-01,"Czech Republic",
1975-01-01,"Denmark",0
1975-01-01,"Finland",0
1975-01-01,"France",0
1975-01-01,"Germany",0
1975-01-01,"Greece",0
1975-01-01,"Hungary",
1975-01-01,"Iceland",0
1975-01-01,"Ireland",0
1975-01-01,"Italy",0
1975-01-01,"Japan",0
1975-01-01,"Korea",
1975-01-01,"Luxembourg",0
1975-01-01,"Mexico",
1975-01-01,"Netherlands",0
1975-01-01,"New Zealand",0
1975-01-01,"Norway",0
1975-01-01,"Poland",
1975-01-01,"Portugal",0
1975-01-01,"Slovak Republic",
1975-01-01,"Spain",0
1975-01-01,"Sweden",0
1975-01-01,"Switzerland",0
1975-01-01,"Turkey",0
1975-01-01,"United Kingdom",0
1975-01-01,"United States",0
1975-07-01,"Australia",0
1975-07-01,"Austria",0
1975-07-01,"Belgium",0
1975-07-01,"Canada",0
1975-07-01,"Czech Republic",
1975-07-01,"Denmark",0
1975-07-01,"Finland",0
1975-07-01,"France",0
1975-07-01,"Germany",0
1975-07-01,"Greece",0
1975-07-01,"Hungary",
1975-07-01,"Iceland",0
1975-07-01,"Ireland",0
1975-07-01,"Italy",0
1975-07-01,"Japan",0
1975-07-01,"Korea",
1975-07-01,"Luxembourg",0
1975-07-01,"Mexico",
1975-07-01,"Netherlands",0
1975-07-01,"New Zealand",0
1975-07-01,"Norway",0
1975-07-01,"Poland",
1975-07-01,"Portugal",0
1975-07-01,"Slovak Republic",
1975-07-01,"Spain",0
1975-07-01,"Sweden",0
1975-07-01,"Switzerland",0
1975-07-01,"Turkey",0
1975-07-01,"United Kingdom",0
1975-07-01,"United States",0
1976-01-01,"Australia",0
1976-01-01,"Austria",0
1976-01-01,"Belgium",0
1976-01-01,"Canada",0
1976-01-01,"Czech Republic",
1976-01-01,"Denmark",0
1976-01-01,"Finland",0
1976-01-01,"France",0
1976-01-01,"Germany",0
1976-01-01,"Greece",0
1976-01-01,"Hungary",
1976-01-01,"Iceland",0
1976-01-01,"Ireland",0
1976-01-01,"Italy",0
1976-01-01,"Japan",0
1976-01-01,"Korea",
1976-01-01,"Luxembourg",0
1976-01-01,"Mexico",
1976-01-01,"Netherlands",0
1976-01-01,"New Zealand",0
1976-01-01,"Norway",0
1976-01-01,"Poland",
1976-01-01,"Portugal",0
1976-01-01,"Slovak Republic",
1976-01-01,"Spain",0
1976-01-01,"Sweden",0
1976-01-01,"Switzerland",0
1976-01-01,"Turkey",0
1976-01-01,"United Kingdom",0
1976-01-01,"United States",0
1976-07-01,"Australia",0
1976-07-01,"Austria",0
1976-07-01,"Belgium",0
1976-07-01,"Canada",0
1976-07-01,"Czech Republic",
1976-07-01,"Denmark",0
1976-07-01,"Finland",0
1976-07-01,"France",0
1976-07-01,"Germany",0
1976-07-01,"Greece",0
1976-07-01,"Hungary",
1976-07-01,"Iceland",0
1976-07-01,"Ireland",0
1976-07-01,"Italy",0
1976-07-01,"Japan",0
1976-07-01,"Korea",
1976-07-01,"Luxembourg",0
1976-07-01,"Mexico",
1976-07-01,"Netherlands",0
1976-07-01,"New Zealand",0
1976-07-01,"Norway",0
1976-07-01,"Poland",
1976-07-01,"Portugal",0
1976-07-01,"Slovak Republic",
1976-07-01,"Spain",0
1976-07-01,"Sweden",0
1976-07-01,"Switzerland",0
1976-07-01,"Turkey",0
1976-07-01,"United Kingdom",0
1976-07-01,"United States",0
1977-01-01,"Australia",0
1977-01-01,"Austria",0
1977-01-01,"Belgium",0
1977-01-01,"Canada",0
1977-01-01,"Czech Republic",
1977-01-01,"Denmark",0
1977-01-01,"Finland",0
1977-01-01,"France",0
1977-01-01,"Germany",0
1977-01-01,"Greece",0
1977-01-01,"Hungary",
1977-01-01,"Iceland",0
1977-01-01,"Ireland",0
1977-01-01,"Italy",0
1977-01-01,"Japan",0
1977-01-01,"Korea",
1977-01-01,"Luxembourg",0
1977-01-01,"Mexico",
1977-01-01,"Netherlands",0
1977-01-01,"New Zealand",0
1977-01-01,"Norway",0
1977-01-01,"Poland",
1977-01-01,"Portugal",0
1977-01-01,"Slovak Republic",
1977-01-01,"Spain",0
1977-01-01,"Sweden",0
1977-01-01,"Switzerland",0
1977-01-01,"Turkey",0
1977-01-01,"United Kingdom",0
1977-01-01,"United States",0
1977-07-01,"Australia",0
1977-07-01,"Austria",0
1977-07-01,"Belgium",0
1977-07-01,"Canada",0
1977-07-01,"Czech Republic",
1977-07-01,"Denmark",0
1977-07-01,"Finland",0
1977-07-01,"France",0
1977-07-01,"Germany",0
1977-07-01,"Greece",0
1977-07-01,"Hungary",
1977-07-01,"Iceland",0
1977-07-01,"Ireland",0
1977-07-01,"Italy",0
1977-07-01,"Japan",0
1977-07-01,"Korea",
1977-07-01,"Luxembourg",0
1977-07-01,"Mexico",
1977-07-01,"Netherlands",0
1977-07-01,"New Zealand",0
1977-07-01,"Norway",0
1977-07-01,"Poland",
1977-07-01,"Portugal",0
1977-07-01,"Slovak Republic",
1977-07-01,"Spain",0
1977-07-01,"Sweden",0
1977-07-01,"Switzerland",0
1977-07-01,"Turkey",0
1977-07-01,"United Kingdom",0
1977-07-01,"United States",0
1978-01-01,"Australia",0
1978-01-01,"Austria",0
1978-01-01,"Belgium",0
1978-01-01,"Canada",0
1978-01-01,"Czech Republic",
1978-01-01,"Denmark",0
1978-01-01,"Finland",0
1978-01-01,"France",0
1978-01-01,"Germany",0
1978-01-01,"Greece",0
1978-01-01,"Hungary",
1978-01-01,"Iceland",0
1978-01-01,"Ireland",0
1978-01-01,"Italy",0
1978-01-01,"Japan",0
1978-01-01,"Korea",
1978-01-01,"Luxembourg",0
1978-01-01,"Mexico",
1978-01-01,"Netherlands",0
1978-01-01,"New Zealand",0
1978-01-01,"Norway",0
1978-01-01,"Poland",
1978-01-01,"Portugal",0
1978-01-01,"Slovak Republic",
1978-01-01,"Spain",0
1978-01-01,"Sweden",0
1978-01-01,"Switzerland",0
1978-01-01,"Turkey",0
1978-01-01,"United Kingdom",0
1978-01-01,"United States",0
1978-07-01,"Australia",0
1978-07-01,"Austria",0
1978-07-01,"Belgium",0
1978-07-01,"Canada",0
1978-07-01,"Czech Republic",
1978-07-01,"Denmark",0
1978-07-01,"Finland",0
1978-07-01,"France",0
1978-07-01,"Germany",0
1978-07-01,"Greece",0
1978-07-01,"Hungary",
1978-07-01,"Iceland",0
1978-07-01,"Ireland",0
1978-07-01,"Italy",0
1978-07-01,"Japan",0
1978-07-01,"Korea",
1978-07-01,"Luxembourg",0
1978-07-01,"Mexico",
1978-07-01,"Netherlands",0
1978-07-01,"New Zealand",0
1978-07-01,"Norway",0
1978-07-01,"Poland",
1978-07-01,"Portugal",0
1978-07-01,"Slovak Republic",
1978-07-01,"Spain",0
1978-07-01,"Sweden",0
1978-07-01,"Switzerland",0
1978-07-01,"Turkey",0
1978-07-01,"United Kingdom",0
1978-07-01,"United States",0
1979-01-01,"Australia",0
1979-01-01,"Austria",0
1979-01-01,"Belgium",0
1979-01-01,"Canada",0
1979-01-01,"Czech Republic",
1979-01-01,"Denmark",0
1979-01-01,"Finland",0
1979-01-01,"France",0
1979-01-01,"Germany",0
1979-01-01,"Greece",0
1979-01-01,"Hungary",
1979-01-01,"Iceland",0
1979-01-01,"Ireland",0
1979-01-01,"Italy",0
1979-01-01,"Japan",0
1979-01-01,"Korea",
1979-01-01,"Luxembourg",0
1979-01-01,"Mexico",
1979-01-01,"Netherlands",0
1979-01-01,"New Zealand",0
1979-01-01,"Norway",0
1979-01-01,"Poland",
1979-01-01,"Portugal",0
1979-01-01,"Slovak Republic",
1979-01-01,"Spain",0
1979-01-01,"Sweden",0
1979-01-01,"Switzerland",0
1979-01-01,"Turkey",0
1979-01-01,"United Kingdom",0
1979-01-01,"United States",0
1979-07-01,"Australia",0
1979-07-01,"Austria",0
1979-07-01,"Belgium",0
1979-07-01,"Canada",0
1979-07-01,"Czech Republic",
1979-07-01,"Denmark",0
1979-07-01,"Finland",0
1979-07-01,"France",0
1979-07-01,"Germany",0
1979-07-01,"Greece",0
1979-07-01,"Hungary",
1979-07-01,"Iceland",0
1979-07-01,"Ireland",0
1979-07-01,"Italy",0
1979-07-01,"Japan",0
1979-07-01,"Korea",
1979-07-01,"Luxembourg",0
1979-07-01,"Mexico",
1979-07-01,"Netherlands",0
1979-07-01,"New Zealand",0
1979-07-01,"Norway",0
1979-07-01,"Poland",
1979-07-01,"Portugal",0
1979-07-01,"Slovak Republic",
1979-07-01,"Spain",0
1979-07-01,"Sweden",0
1979-07-01,"Switzerland",0
1979-07-01,"Turkey",0
1979-07-01,"United Kingdom",0
1979-07-01,"United States",0
1980-01-01,"Australia",0
1980-01-01,"Austria",0
1980-01-01,"Belgium",0
1980-01-01,"Canada",0
1980-01-01,"Czech Republic",
1980-01-01,"Denmark",0
1980-01-01,"Finland",0
1980-01-01,"France",0
1980-01-01,"Germany",0
1980-01-01,"Greece",0
1980-01-01,"Hungary",
1980-01-01,"Iceland",0
1980-01-01,"Ireland",0
1980-01-01,"Italy",0
1980-01-01,"Japan",0
1980-01-01,"Korea",
1980-01-01,"Luxembourg",0
1980-01-01,"Mexico",
1980-01-01,"Netherlands",0
1980-01-01,"New Zealand",0
1980-01-01,"Norway",0
1980-01-01,"Poland",
1980-01-01,"Portugal",0
1980-01-01,"Slovak Republic",
1980-01-01,"Spain",0
1980-01-01,"Sweden",0
1980-01-01,"Switzerland",0
1980-01-01,"Turkey",0
1980-01-01,"United Kingdom",0
1980-01-01,"United States",0
1980-07-01,"Australia",0
1980-07-01,"Austria",0
1980-07-01,"Belgium",0
1980-07-01,"Canada",0
1980-07-01,"Czech Republic",
1980-07-01,"Denmark",0
1980-07-01,"Finland",0
1980-07-01,"France",0
1980-07-01,"Germany",0
1980-07-01,"Greece",0
1980-07-01,"Hungary",
1980-07-01,"Iceland",0
1980-07-01,"Ireland",0
1980-07-01,"Italy",0
1980-07-01,"Japan",0
1980-07-01,"Korea",
1980-07-01,"Luxembourg",0
1980-07-01,"Mexico",
1980-07-01,"Netherlands",0
1980-07-01,"New Zealand",0
1980-07-01,"Norway",0
1980-07-01,"Poland",
1980-07-01,"Portugal",0
1980-07-01,"Slovak Republic",
1980-07-01,"Spain",0
1980-07-01,"Sweden",0
1980-07-01,"Switzerland",0
1980-07-01,"Turkey",0
1980-07-01,"United Kingdom",0
1980-07-01,"United States",0
1981-01-01,"Australia",0
1981-01-01,"Austria",0
1981-01-01,"Belgium",0
1981-01-01,"Canada",0
1981-01-01,"Czech Republic",
1981-01-01,"Denmark",0
1981-01-01,"Finland",0
1981-01-01,"France",0
1981-01-01,"Germany",0
1981-01-01,"Greece",0
1981-01-01,"Hungary",
1981-01-01,"Iceland",0
1981-01-01,"Ireland",0
1981-01-01,"Italy",0
1981-01-01,"Japan",0
1981-01-01,"Korea",
1981-01-01,"Luxembourg",0
1981-01-01,"Mexico",
1981-01-01,"Netherlands",0
1981-01-01,"New Zealand",0
1981-01-01,"Norway",0
1981-01-01,"Poland",
1981-01-01,"Portugal",0
1981-01-01,"Slovak Republic",
1981-01-01,"Spain",0
1981-01-01,"Sweden",0
1981-01-01,"Switzerland",0
1981-01-01,"Turkey",0
1981-01-01,"United Kingdom",0
1981-01-01,"United States",0
1981-07-01,"Australia",0
1981-07-01,"Austria",0
1981-07-01,"Belgium",0
1981-07-01,"Canada",0
1981-07-01,"Czech Republic",
1981-07-01,"Denmark",0
1981-07-01,"Finland",0
1981-07-01,"France",0
1981-07-01,"Germany",0
1981-07-01,"Greece",0
1981-07-01,"Hungary",
1981-07-01,"Iceland",0
1981-07-01,"Ireland",0
1981-07-01,"Italy",0
1981-07-01,"Japan",0
1981-07-01,"Korea",
1981-07-01,"Luxembourg",0
1981-07-01,"Mexico",
1981-07-01,"Netherlands",0
1981-07-01,"New Zealand",0
1981-07-01,"Norway",0
1981-07-01,"Poland",
1981-07-01,"Portugal",0
1981-07-01,"Slovak Republic",
1981-07-01,"Spain",0
1981-07-01,"Sweden",0
1981-07-01,"Switzerland",0
1981-07-01,"Turkey",0
1981-07-01,"United Kingdom",0
1981-07-01,"United States",0
1982-01-01,"Australia",0
1982-01-01,"Austria",0
1982-01-01,"Belgium",0
1982-01-01,"Canada",0
1982-01-01,"Czech Republic",
1982-01-01,"Denmark",0
1982-01-01,"Finland",0
1982-01-01,"France",0
1982-01-01,"Germany",0
1982-01-01,"Greece",0
1982-01-01,"Hungary",
1982-01-01,"Iceland",0
1982-01-01,"Ireland",0
1982-01-01,"Italy",0
1982-01-01,"Japan",0
1982-01-01,"Korea",
1982-01-01,"Luxembourg",0
1982-01-01,"Mexico",
1982-01-01,"Netherlands",0
1982-01-01,"New Zealand",0
1982-01-01,"Norway",0
1982-01-01,"Poland",
1982-01-01,"Portugal",0
1982-01-01,"Slovak Republic",
1982-01-01,"Spain",0
1982-01-01,"Sweden",0
1982-01-01,"Switzerland",0
1982-01-01,"Turkey",0
1982-01-01,"United Kingdom",0
1982-01-01,"United States",0
1982-07-01,"Australia",0
1982-07-01,"Austria",0
1982-07-01,"Belgium",0
1982-07-01,"Canada",0
1982-07-01,"Czech Republic",
1982-07-01,"Denmark",0
1982-07-01,"Finland",0
1982-07-01,"France",0
1982-07-01,"Germany",0
1982-07-01,"Greece",0
1982-07-01,"Hungary",
1982-07-01,"Iceland",0
1982-07-01,"Ireland",0
1982-07-01,"Italy",0
1982-07-01,"Japan",0
1982-07-01,"Korea",
1982-07-01,"Luxembourg",0
1982-07-01,"Mexico",
1982-07-01,"Netherlands",0
1982-07-01,"New Zealand",0
1982-07-01,"Norway",0
1982-07-01,"Poland",
1982-07-01,"Portugal",0
1982-07-01,"Slovak Republic",
1982-07-01,"Spain",0
1982-07-01,"Sweden",0
1982-07-01,"Switzerland",0
