"date","ff_factor","fg_factor","lsap_factor"
2009-04-29,0.2122,0.6293,-0.7556
2009-06-24,0.1365,1.373,-0.7978
2009-08-12,0.1948,-0.1222,-0.5309
2009-09-23,0.1786,-2.0931,-0.2001
2009-11-04,0.1055,-0.2377,-0.5513
2009-12-16,-0.1239,0.6135,-0.177
2010-01-27,-0.0098,1.0977,0.1752
2010-03-16,0.1552,-0.8026,-0.212
2010-04-28,0.1096,-0.0509,-0.3151
2010-06-23,0.1729,0.1096,0.1267
2010-08-10,0.1297,-0.6059,0.6651
2010-09-21,0.1999,-0.1874,0.0621
2010-11-03,0.4048,-0.2498,-0.8113
2010-12-14,0.1927,0.005,-0.3125
2011-01-26,0.1561,-0.1701,-0.2999
2011-03-15,0.0856,0.5282,-0.1064
2011-04-27,0.0781,-0.3502,0.1258
2011-06-22,0.1288,0.383,-0.2197
2011-08-09,0.4652,-1.522,0.2486
2011-09-21,0.1982,0.9489,1.2882
2011-11-02,0.112,0.3465,0.1243
2011-12-13,0.1499,0.1627,0.3305
2012-01-25,0.1058,-0.5627,0.6539
2012-03-13,0.1428,0.431,-0.3942
2012-04-25,0.0685,0.1478,-0.1434
2012-06-20,0.1434,0.3734,0.7396
2012-08-01,0.1191,0.6602,-0.2016
2012-09-13,0.3472,0.5124,-1.0139
2012-10-24,0.0742,0.0876,0.1872
2012-12-12,0.2276,-0.026,-0.4315
2013-01-30,0.1639,-0.2233,-0.0744
2013-03-20,0.2112,0.0421,-0.7655
2013-05-01,0.1766,-0.1298,0.6982
2013-06-19,0.1555,1.2789,-1.9618
2013-07-31,0.0941,0.0813,0.2298
2013-09-18,0.0775,-1.3437,2.5478
2013-10-30,0.1,0.0841,-0.3262
2013-12-18,0.2132,0.0179,-0.6277
2014-01-29,0.2178,-0.0378,0.2412
2014-03-19,0.0635,1.0383,-0.5745
2014-04-30,0.149,0.1236,-0.044
2014-06-18,0.0883,0.4083,0.1639
2014-07-30,0.147,-0.0931,0.2256
2014-09-17,0.0745,0.7499,-0.1599
2014-10-29,0.0876,0.8784,0.0121
2014-12-17,0.2895,-1.539,-0.5004
2015-01-28,0.1562,-0.1374,0.136
2015-03-18,0.1905,-2.4187,0.7684
2015-04-29,0.2009,0.3058,-0.8709
2015-06-17,0.0942,-0.6491,-0.1424
2015-07-29,0.0585,0.4825,-0.1979
2015-09-17,-0.5335,-1.5287,0.6352
2015-10-28,0.1122,1.8037,0.0543
2015-12-16,0.3133,-0.0165,0.535
2016-01-27,0.0061,-0.4571,0.0646
2016-03-16,-0.1059,-1.8125,-0.0361
2016-04-27,0.1044,0.3297,0.2548
2016-06-15,0.0403,-0.7779,-0.1874
2016-07-27,0.0919,0.1571,0.3179
2016-09-21,-0.3929,-0.1762,0.4677
2016-11-02,0.1187,0.1751,0.0474
2016-12-14,0.0293,1.3897,-0.235
2017-02-01,0.1318,-0.3792,-0.1273
2017-03-15,0.2457,-1.3124,-0.0288
2017-05-03,0.1931,0.4046,6e-04
2017-06-14,0.3192,0.3507,-0.0122
2017-07-26,0.0966,-0.2104,0.2056
2017-09-20,0.0498,1.1731,0.1235
2017-11-01,0.1391,0.1403,-0.021
2017-12-13,0.1951,-0.2118,0.1677
2018-01-31,0.1757,0.249,-0.1555
2018-03-21,0.1233,0.1086,-0.3651
2018-05-02,0.1627,-0.1906,0.0983
2018-06-13,0.0159,0.8383,-0.1004
2018-08-01,0.1917,-0.0519,0.0558
2018-09-26,0.3094,-0.1885,-0.0389
2018-11-08,0.1275,0.2713,0.055
2018-12-19,0.4958,-0.0434,0.4828
2019-01-30,0.1321,-0.6669,-0.0756
2019-03-20,0.3628,-1.2167,0.1823
2019-05-01,-0.0233,-0.6911,-0.059
2019-06-19,0.4839,-2.0175,-0.7116
