"dataset","variable","description"
"bbe2005","FM2","MONEY STOCK:M2 (BIL$, SA)"
"bbe2005","FM3","MONEY STOCK: M3 (BIL$,SA)"
"bbe2005","FM2DQ","MONEY SUPPLY - M2 IN 1992 DOLLARS (BCI)"
"bbe2005","FMFBA","MONETARY BASE, ADJ FOR RESERVE REQUIREMENT CHANGES(MIL$,SA)"
"bbe2005","FMRRA","DEPOSITORY INST RESERVES:TOTAL,ADJ FOR RES. REQ CHGS(MIL$,SA)"
"bbe2005","FMRNBA","DEPOSITORY INST RESERVES:NONBOR. ,ADJ RES REQ CHGS(MIL$,SA)"
"bbe2005","FCLNQ","OMMERCIAL & INDUST. LOANS OUSTANDING IN 1992 DOLLARS (BCI"
"bbe2005","FCLBMC","WKLY RP LG COM. BANKS: NET CHANGE COM & IND. LOANS(BIL$,SAAR)"
"bbe2005","CCINRV","CONSUMER CREDIT OUTSTANDING NONREVOLVING G19"
"bbe2005","PMCP","NAPM COMMODITY PRICES INDEX (PERCENT)"
"bbe2005","PWFSA","PRODUCER PRICE INDEX: FINISHED GOODS (82=100,SA)"
"bbe2005","PWFCSA","PRODUCER PRICE INDEX:FINISHED CONSUMER GOODS (82=100,SA)"
"bbe2005","PWIMSA","PRODUCER PRICE INDEX:INTERMED MAT.SUP & COMPONENTS(82=100,SA)"
"bbe2005","PWCMSA","PRODUCER PRICE INDEX:CRUDE MATERIALS (82=100,SA)"
"bbe2005","PSM99Q","INDEX OF SENSITIVE MATERIALS PRICES (1990=100)(BCI-99A)"
"bbe2005","PUNEW","CPI-U: ALL ITEMS (82-84=100,SA)"
"bbe2005","PU83","CPI-U: APPAREL & UPKEEP (82-84=100,SA)"
"bbe2005","PU84","CPI-U: TRANSPORTATION (82-84=100,SA)"
"bbe2005","PU85","CPI-U: MEDICAL CARE (82-84=100,SA)"
"bbe2005","PUC","CPI-U: COMMODITIES (82-84=100,SA)"
"bbe2005","PUCD","CPI-U: DURABLES (82-84=100,SA)"
"bbe2005","PUS","CPI-U: SERVICES (82-84=100,SA)"
"bbe2005","PUXF","CPI-U: ALL ITEMS LESS FOOD (82-84=100,SA)"
"bbe2005","PUXHS","CPI-U: ALL ITEMS LESS SHELTER (82-84=100,SA)"
"bbe2005","PUXM","CPI-U: ALL ITEMS LESS MIDICAL CARE (82-84=100,SA)"
"bbe2005","LEHCC","AVG HR EARNINGS OF CONSTR WKRS: CONSTRUCTION ($,SA)"
"bbe2005","LEHM","AVG HR EARNINGS OF PROD WKRS: MANUFACTURING ($,SA)"
"bbe2005","HHSNTN","U. OF MICH. INDEX OF CONSUMER EXPECTATIONS(BCD-83)"
"ramey2016_monetary","lip","log of industrial production - October 16, 2010 data"
"ramey2016_monetary","unemp","unemployment rate"
"ramey2016_monetary","lcpi","log of CPI"
"ramey2016_monetary","ffr","federal funds rate"
"ramey2016_monetary","lpcom","log of commodity price index"
"ramey2016_monetary","lrcdur","log of real consumer durables - October 30, 2015"
"ramey2016_monetary","lrcnd","log of real consumer nondurables"
"ramey2016_monetary","lrcsv","log of real consumer services"
"ramey2016_monetary","rrshock","Romer-Romer shock - reestimated for sample through 2007:12 by Johannes Wieland"
"ramey2016_monetary","cumrrshock","Cumulation of rrshock"
"ramey2016_monetary","lm1","log of M1"
"ramey2016_monetary","bcshock","Barakchian_Crowe shock"
"ramey2016_monetary","cumbcshock","Cumulation of BC shock"
"ramey2016_monetary","mp1_tc","Gertler-Karadi monthly shocks, current futures"
"ramey2016_monetary","ff4_tc","Gertler-Karadi monthly shocks, fed funds futures 3 months from now"
"ramey2016_monetary","ed2_tc","Gertler-Karadi monthly shocks, Euro-dollar futures 6 months from now"
"ramey2016_monetary","ed3_tc","Gertler-Karadi monthly shocks, Euro-dollar futures 9 months from now"
"ramey2016_monetary","ed4_tc","Gertler-Karadi monthly shocks, Euro-dollar futures 12 months from now"
"ramey2016_monetary","gs1","One-year government tbill rate"
"ramey2016_monetary","ebp","Gilchrist-Zakrajsek spread"
"ramey2016_monetary","szshock","Sims-Zha shock"
"ramey2016_monetary","rrshock83","Romer-Romer shock, estimated for sample 1983-2007"
"ramey2016_monetary","cumrrshock83","Cumulation of rrshock83"
"ramey2016_monetary","rrshock83b","Romer-Romer shock, estimated for sample 1983-2007 using long-horizon Greenbook forecasts"
"ramey2016_monetary","ff1_vr","Gertler-Karadi current fed funds futures shock, my conversion from FOMC announcements, following Romer-Romer"
"ramey2016_monetary","ff4_vr","Gertler-Karadi 3-months from now fed funds futures shock, my conversion from FOMC announcements, following Romer-Romer"
"ramey2016_monetary","ed2_vr","Gertler-Karadi 6 months euro-dollar futures shock, my conversion from FOMC announcements, following Romer-Romer"
"ramey2016_monetary","ff1_gkgreen","Residual after regressing on Romer-Romer Greenbook variables by FOMC date - sets between meeting announcements to 0"
"ramey2016_monetary","ff4_gkgreen","Residual after regressing on Romer-Romer Greenbook variables by FOMC date - sets between meeting announcements to 0"
"ramey2016_monetary","ed2_gkgreen","Residual after regressing on Romer-Romer Greenbook variables by FOMC date - sets between meeting announcements to 0"
"ramey2016_govt","ngdp","nominal GDP"
"ramey2016_govt","ncons","nominal total consumption"
"ramey2016_govt","ncdur","nominal durable consumption expenditures"
"ramey2016_govt","ncnd","nominal nondurable consumption"
"ramey2016_govt","ncsv","nominal services consumption"
"ramey2016_govt","ntotinv","nominal total investment"
"ramey2016_govt","nfxinv","nominal fixed investment"
"ramey2016_govt","nnri","nominal nonresidential investment"
"ramey2016_govt","nres","nominal residential investment"
"ramey2016_govt","ngov","nominal government purchases (federal + state + local)"
"ramey2016_govt","nfed","nominal federal government purchases"
"ramey2016_govt","ndef","nominal federal defense purchases"
"ramey2016_govt","pgdp","GDP deflator"
"ramey2016_govt","pcons","consumption deflator"
"ramey2016_govt","pcdur","deflator for durable consumption"
"ramey2016_govt","pcnd","deflator for nondurable consumption"
"ramey2016_govt","pcsv","deflator for services consumption"
"ramey2016_govt","pcndsv","deflator for consumption nondurables plus services"
"ramey2016_govt","ptotinv","deflator for total investment"
"ramey2016_govt","pfxinv","deflator for fixed investment"
"ramey2016_govt","pnri","deflator for nonresidential investment"
"ramey2016_govt","pres","deflator for residential investment"
"ramey2016_govt","pgov","deflator for government purchases"
"ramey2016_govt","pfed","deflator for federal government purchase"
"ramey2016_govt","pdef","deflator for federal defense purchases"
"ramey2016_govt","nwbus","nominal compensation in private business"
"ramey2016_govt","pbus","deflator for private business output"
"ramey2016_govt","tothours","total hours worked (includes military etc.)"
"ramey2016_govt","pop","total population"
"ramey2016_govt","tbill3","3-month Treasury bill"
"ramey2016_govt","rypot","real potential GDP CBO"
"ramey2016_govt","rameynews","military news from Ramey"
"ramey2016_govt","nfedreceipts","nominal federal receipts"
"ramey2016_govt","top3xsret","Fisher-Peters excess returns of defense contractors"
"ramey2016_govt","mfev","Ben Zeev - Pappa defense news"
"ramey2016_tech","ngdp","nominal GDP"
"ramey2016_tech","rgdp","real GDP"
"ramey2016_tech","pgdp","GDP deflator"
"ramey2016_tech","ncons","nominal consumption"
"ramey2016_tech","ntotinv","nominal total investment"
"ramey2016_tech","rcons","real consumption"
"ramey2016_tech","rnri","real nonresidential investment"
"ramey2016_tech","tothours","total hours"
"ramey2016_tech","ybus","output in private business"
"ramey2016_tech","xbus","output per hour in private business"
"ramey2016_tech","nbus","hours in private business"
"ramey2016_tech","ltfp","log TFP - Fernald series"
"ramey2016_tech","ltfp_i","log TFP in investment goods - Fernald series"
"ramey2016_tech","ltfp_util","log TFP - utilitzation adjusted, Fernald series"
"ramey2016_tech","ltfp_i_util","log TFP in investment goods - utilization adjusted, Fernald series"
"ramey2016_tech","relp","relative price of investment ogods"
"ramey2016_tech","pop","total population"
"ramey2016_tech","civpop","civilian noninstitutional pop 16+"
"ramey2016_tech","baa","BAA bond intereswt rate"
"ramey2016_tech","tbond10","10 year Treasury bond rate"
"ramey2016_tech","tbill3","3-month Treasury bill"
"ramey2016_tech","stockp_sh","stock prices, from Shiller"
"ramey2016_tech","stockp_ff","Stock prices, from Fama-French"
"ramey2016_tech","ford_tfp","Francis, Owyang, Roush, DeCicio shock - sent by Riccardo December 14, 2015"
"ramey2016_tech","bp_tfp_news_sr","Ramey update of Beaudry-Portier TFP news shock based on short-run restrictions"
"ramey2016_tech","bp_tfp_news_lr","Ramey update of Beaudry-Portier TFP news shock based on long-run restrictions"
"ramey2016_tech","bs_tfp_news","Barsky-Sims TFP news"
"ramey2016_tech","bzk_ist_news","Ben Zeev-Khan JMCB investment specific news shocks"
"ramey2016_tech","bzk_ist","Ben Zeev-Khan JMCB unanticipated investment specific shocks"
"ramey2016_tech","bzk_tfp","Ben Zeev-Khan JMCB TFP shocks"
"ramey2016_tech","jpt_tfp","Justiniano, Primaceri, and Tambolotti's RED 2011 TFP shocks"
"ramey2016_tech","jpt_mei","Justiniano, Primaceri, and Tambolotti's RED 2011 marginal efficiency of investment shocks"
"ramey2016_tech","jpt_ist","Justiniano, Primaceri, and Tambolotti's RED 2011 investment specific technology shocks"
"ramey2016_tech","mn_tfp_p","Miyamoto-Nguyen's permanent TFP shock"
"ramey2016_tech","mn_ist_p","Miyamoto-Nguyen's permanent IST shock"
"ramey2016_tech","mn_tfp_s","Miyamoto-Nguyen's stationary TFP shock"
"ramey2016_tech","mn_ist_s","Miyamoto-Nguyen's stationary IST shock"
"ramey2016_tech","mn_tfp_p_n4","Miyamoto-Nguyen's 4-quarter ahead news about permanent TFP shock"
"ramey2016_tech","mn_tfp_p_n8","Miyamoto-Nguyen's8-quarter ahead news about permanent TFP shock"
"ramey2016_tech","mn_ist_p_n4","Miyamoto-Nguyen's 4-quarter ahead news about permanent IST shock"
"ramey2016_tech","mn_ist_p_n8","Miyamoto-Nguyen's 8-quarter ahead news about permanent IST shock"
"ramey2016_tech","mn_tfp_s_n4","Miyamoto-Nguyen's 4-quarter ahead news about stationary TFP shock"
"ramey2016_tech","mn_tfp_s_n8","Miyamoto-Nguyen's8-quarter ahead news about stationary TFP shock"
"ramey2016_tech","mn_ist_s_n4","Miyamoto-Nguyen's 4-quarter ahead news about stationary IST shock"
"ramey2016_tech","mn_ist_s_n8","Miyamoto-Nguyen's 8-quarter ahead news about stationary IST shock"
"ramey2016_tax","ngdp","nominal GDP"
"ramey2016_tax","rgdp","real GDP"
"ramey2016_tax","rcons","real consumption"
"ramey2016_tax","rcndsv","real nondurables plus services consumption, aggregated using Whelan method"
"ramey2016_tax","rcdur","real durables consumption"
"ramey2016_tax","rinv","real investment"
"ramey2016_tax","rnri","real nonresidential investment"
"ramey2016_tax","rres","real residential investment"
"ramey2016_tax","tothours","total hours"
"ramey2016_tax","ngov","nominal government purchases"
"ramey2016_tax","nfed","nominal federal purchases"
"ramey2016_tax","rameynews","military news"
"ramey2016_tax","mfev","Ben Zeev - Pappa military news"
"ramey2016_tax","ntaxrev","nominal tax receipts"
"ramey2016_tax","nfedtaxrev","nominal federal tax receipts"
"ramey2016_tax","pgdp","GDP deflator"
"ramey2016_tax","ybus","real private business output"
"ramey2016_tax","xbus","real private business output per hour"
"ramey2016_tax","nbus","hours worked in private business"
"ramey2016_tax","pop","total population"
"ramey2016_tax","baa","interest rate on BAA bonds"
"ramey2016_tax","tbond10","interest rate on 10 year Treasury bonds"
"ramey2016_tax","tbill3","interest rate on 3-month Tbill"
"ramey2016_tax","ffr","federal funds rate"
"ramey2016_tax","aftr15","Leeper, Richter, Walker tax expectations, 1 - 5 years ahead"
"ramey2016_tax","endognrratio","Romer-Romer endogenous tax changes, ratio to GDP"
"ramey2016_tax","exogenrratio","Romer-Romer exogenous tax changes, ratio to GDP"
"ramey2016_tax","rrtaxu","Romer-Romer, unanticipated tax changes Mertens-Ravn, JME data"
"ramey2016_tax","taxu","Romer-Romer, unanticipated tax changes,  Mertens-Ravn RED data"
"ramey2016_tax","taxnews","Romer-Romer, anticipated tax changes, Mertens-Ravn RED data"
"rz2018","ngov","nominal government purchases"
"rz2018","ngdp","nominal GDP"
"rz2018","pgdp","GDP implicit price deflator"
"rz2018","pop","total population, including armed forces overseas"
"rz2018","recession","recession indicator"
"rz2018","unemp","civilian unemployment rate"
"rz2018","news","military news"
"rz2018","rgdp","real GDP"
"rz2018","nfedcurrreceipts_nipa","nominal Federal current receipts, NIPA accrual basis"
"rz2018","ndeficit_nipa","nominal deficit, NIPA accrual basis, constructed as *total* federal expenditures - total federal receipts"
"rz2018","tbill","3-month treasury bill rate, secondary market"
"rz2018","zlb_dummy","dummy for zlb periods"
"rz2018","rgdp_potcbo","real potential GDP, based on cubic polynomial fit from 1889:1 - 1950:2( omitting Great Depression and WWII), overlapped with CBO from 1949:1 - on"
"rz2018","rgdp_pott6","real potential GDP, based on 6th degree polynomial fit from 1889:1 - 2015:4, ommiting Great Depression and WWII"
"rz2018","unemp_altcr","alternative unemployment Christina Romer"
"rz2018","rgdp_altcr","alternative real GDP, Christina Romer"
"rz2018","pgdp_altcr","alternative price deflator, Christina Romer"
"rz2018","ngdp_altcr","alternative nominal GDP, Christina Romer"
"rz2018","ntotrev_nipa","nominal total government revenue (federal + state and local), NIPA accrual basis."
"rz2018","pubfeddebt_treas","nominal federal debt in the hands of the public, cash basis"
"rz2018","fedrevq_treas","nominal federal revenue, Treasury data, cash basis"
"rz2018","fedexpq_treas","nominal federal outlays, Treasury data, cash basis"
"rz2018","nfedexp_nipa","nominal federal expenditures, NIPA accrual basis"
"rz2018","hpunemp_split","HP unemployment, split sample"
"rz2018","hpunemp_full","HP unemployment, full sample"
"rz2018","tbill_interp","Tbill interpolated with NY discount rate for early years"
"rz2018","nydiscrate","NY discount rate"
