"date","ltax","lgov","lgdp","tax_narrative","tax_longrun","tax_retroactive","tax_scaled_y4","tax_all_romer"
1955-07-01,-10.1829865332814,-10.4295105332397,-8.41245928415912,0,0,0,0,0
1955-10-01,-10.1735219456509,-10.4694571598594,-8.40954204052994,0,0,0,0,0
1956-01-01,-10.1807670356962,-10.4748272618887,-8.41686708669534,0,0,0,0,0
1956-04-01,-10.1704425488703,-10.4404563171888,-8.41175517640657,0,0,0,0,0
1956-07-01,-10.1888433302187,-10.4685146789244,-8.41602894723311,0,0,0,0,0
1956-10-01,-10.1575393657732,-10.4387905478947,-8.40280088034038,0,0,0,0,0
1957-01-01,-10.1489221178661,-10.4138052753531,-8.39955820760574,0,0,0,0,0
1957-04-01,-10.1637101578833,-10.4334339277162,-8.4049371876516,0,0,0,0,0
1957-07-01,-10.1755175448552,-10.4295515831888,-8.39865513767077,0,0,0,0,0
1957-10-01,-10.2136373577396,-10.4086373727933,-8.41251676648927,0,0,0,0,0
1958-01-01,-10.2761476447625,-10.446965377075,-8.44323565713085,0,0,0,0,0
1958-04-01,-10.2836305704227,-10.4114639419326,-8.44034794816916,0,0,0,0,0
1958-07-01,-10.2471533419707,-10.4145668156764,-8.42022683608209,-0.109170305676856,-0.109170305676856,-0.109170305676856,-0.107204116638079,-0.109170305676856
1958-10-01,-10.207274199771,-10.3946335505949,-8.40013940168383,0,0,0,0,0
1959-01-01,-10.1591305907072,-10.4251965729368,-8.38318885041028,0,0,0,0,0
1959-04-01,-10.1210827808412,-10.4121993157416,-8.36125635871612,0,0,0,0,0
1959-07-01,-10.1476086124582,-10.405780975119,-8.36542420417137,0,0,0,0,0
1959-10-01,-10.1511940541,-10.4250190918904,-8.36487571761205,0.117808757095621,0,0.117808757117612,0.123711340183093,0.117808757095621
1960-01-01,-10.0779017073506,-10.4790841536667,-8.34544888050074,0,0,0,0,0.370296297385035
1960-04-01,-10.0979545258797,-10.485090279866,-8.35297418663516,0,0,0,0,0
1960-07-01,-10.1112452719353,-10.4464040232539,-8.35440762767795,0,0,0,0,0
1960-10-01,-10.1325070996716,-10.4370151439573,-8.37028603986372,0,0,0,0,0
1961-01-01,-10.1355969464828,-10.4468623690707,-8.36742082739083,0,0,0,0,0
1961-04-01,-10.1188866528762,-10.4400585155948,-8.35204602522843,0,0,0,0,0
1961-07-01,-10.1071895918144,-10.4211274432968,-8.34041120418493,0,0,0,0,0
1961-10-01,-10.0816768947595,-10.406069959025,-8.32484937400103,0,0,0,0,0
1962-01-01,-10.0778017065714,-10.371934319129,-8.31157699801111,0,0,0,0,0
1962-04-01,-10.0696207329027,-10.371077590603,-8.30526023786275,0,0,0,0,0
1962-07-01,-10.05130826198,-10.3415978978388,-8.30007243768561,-0.231481481481481,-0.231481481481481,-0.694444444444444,-0.245677888989991,-0.231481481481481
1962-10-01,-10.0468239099764,-10.3435558179481,-8.30166106653717,-0.15253843559322,-0.152542372881356,-0.152542372881356,-0.159967431567721,-0.15253843559322
1963-01-01,-10.0274030494283,-10.3695356785212,-8.29258066941137,0.10155064891286,0.10112927692567,0.556211023091185,0.104582537753862,0.438704197674027
1963-04-01,-10.0137621489279,-10.3834363474103,-8.28416600008114,0,0,0,0,0
1963-07-01,-10.0096412206454,-10.3386527730381,-8.26957567078519,0,0,0,0,0
1963-10-01,-10.0075170903044,-10.3552233642603,-8.26578729185551,0,0,0,0,0
1964-01-01,-10.0326520793049,-10.3596282620989,-8.24764317268662,0,0,0,0,0
1964-04-01,-10.0737563654517,-10.3687458572353,-8.23999800667186,-1.29310344827586,-1.29310344827586,-2.58620689655172,-1.37434554973822,-1.29310344827586
1964-07-01,-10.0571251596793,-10.3701488040916,-8.23030632922166,0,0,1.27485202610411,0,1.27485202652982
1964-10-01,-10.051049670308,-10.3928327883802,-8.23137303463094,0,0,0,0,0
1965-01-01,-10.004680982074,-10.4105783357043,-8.21076308334402,0,0,0,0,-0.666074599942274
1965-04-01,-9.99901255941866,-10.4134693787188,-8.20116198842036,0,0,0,0,0
1965-07-01,-10.0194663283951,-10.3707278732871,-8.18488341465326,-0.247140234109871,-0.247140234430165,-0.247140234430165,-0.26099925394959,-0.247140234109871
1965-10-01,-9.99914831152909,-10.3331111365449,-8.16489320722274,0,0,0,0,0
1966-01-01,-9.93681691050476,-10.3191863038183,-8.14453836522041,0,0,0,0,-0.234113712543144
1966-04-01,-9.91326091270249,-10.3045519677733,-8.14519593176711,0.116761805733005,0.116761805915932,0.116761805915932,0.127100691793532,0.116761805733005
1966-07-01,-9.91004434021507,-10.2588431604775,-8.14306666344555,0,0,0,0,0
1966-10-01,-9.90678219223189,-10.2630425424665,-8.13938580595698,0,0,0,0,0
1967-01-01,-9.90920089456811,-10.2067852336593,-8.13489641395835,0,0,0,0,0
1967-04-01,-9.91453564124187,-10.2193534050931,-8.13906023005078,0,0,0,0,0
1967-07-01,-9.90370961292914,-10.2073920267274,-8.13533059234515,-0.194576188738903,-0.194576188738903,-0.668855648789979,-0.20174000756525,-0.194576188738903
1967-10-01,-9.88859308437321,-10.2047566410313,-8.13197750491998,0,0,0,0,0
1968-01-01,-9.85200683725599,-10.1940429104466,-8.11573734526062,0,0,0,0,0
1968-04-01,-9.83798102357817,-10.2041048567148,-8.10308497205975,0,0,0,0,0
1968-07-01,-9.78527668709678,-10.2081952777452,-8.10039947295065,0,0,0,0,0
1968-10-01,-9.77449244478844,-10.2182897719888,-8.10030235882839,0,0,0,0,0
1969-01-01,-9.7357529530149,-10.2372578425162,-8.08877882731113,0,0,0,0,0
1969-04-01,-9.7376634203177,-10.255074455442,-8.0900082865562,0,0,0,0,0
1969-07-01,-9.7698318041816,-10.2439431032394,-8.08829904026255,0,0,0,0,0
1969-10-01,-9.78132656938514,-10.277074302182,-8.09751262421402,0,0,0,0,0
1970-01-01,-9.83097385886557,-10.2834331784604,-8.10365458719209,0,0,0,0,0
1970-04-01,-9.84102103286736,-10.3219452935062,-8.10635544469657,0,0,0,0,0
1970-07-01,-9.87355202147316,-10.3345310225928,-8.10223892335348,0,0,0,0,0
1970-10-01,-9.89552281914854,-10.3467052457864,-8.11763084256305,0,0,0,0,0
1971-01-01,-9.88749659140071,-10.3708198077336,-8.09509945419386,-0.265934275901206,-0.265982711123777,-0.265982711123777,-0.27524236775263,-0.0189953055705329
1971-04-01,-9.89376223270236,-10.3823152208592,-8.09410609645288,0,0,0,0,0
1971-07-01,-9.90481615765328,-10.3866286018766,-8.09095487010607,0,0,0,0,0
1971-10-01,-9.90213969889904,-10.4090845628113,-8.09303419685669,0,0,0,0,0
1972-01-01,-9.8243611627604,-10.3769106298978,-8.08010662627332,-0.694806322737537,-0.694806322737537,-1.36355740837242,-0.728531099171296,-0.781657113079729
1972-04-01,-9.82070591578709,-10.363637025761,-8.06137825027683,0,0,0,0,0
1972-07-01,-9.82280112203475,-10.4264431587267,-8.05656755568301,0,0,0,0,0
1972-10-01,-9.8078811617687,-10.4222062740729,-8.04492711605449,0,0,0,0,0
1973-01-01,-9.75558146792157,-10.4064863432832,-8.02434527905747,0,0,0,0,0
1973-04-01,-9.75967830813431,-10.4265298076099,-8.01748990740253,0,0,0,0,0
1973-07-01,-9.76875606686045,-10.475115660927,-8.02754178742306,0,0,0,0,0
1973-10-01,-9.75834802195768,-10.4788061369117,-8.02267547966266,0,0,0,0,0
1974-01-01,-9.75541972560726,-10.4563128782819,-8.03611756566919,0,0,0,0,0
1974-04-01,-9.74985338532981,-10.4652530398021,-8.03817806853979,0,0,0,0,0
1974-07-01,-9.74384177755763,-10.4616636497216,-8.05274129561048,0,0,0,0,0
1974-10-01,-9.78880169506806,-10.4498605610765,-8.06138752893041,0,0,0,0,0
1975-01-01,-9.8368604868899,-10.4669495314827,-8.07831417136534,0,0,0,0,0
1975-04-01,-9.98685197675706,-10.4801332908721,-8.07529810463467,0,0,0,0,0
1975-07-01,-9.84066061669815,-10.4601064738163,-8.06335347426567,0,0,0,0,0
1975-10-01,-9.83450981950602,-10.4517723025411,-8.0551015553921,0,0,0,0,0
1976-01-01,-9.80835328956992,-10.4653460683097,-8.03731560957313,0,0,0,0,0
1976-04-01,-9.80132247045587,-10.4710673969362,-8.03452324612543,0,0,0,0,0
1976-07-01,-9.79571859490548,-10.4765879571373,-8.03424092176805,0,0,0,0,0
1976-10-01,-9.799413199727,-10.4683000164966,-8.03161482126479,0.130542612900637,0.130598030146379,0.130598030146379,0.139972086893926,0.130542612900637
1977-01-01,-9.77691629017415,-10.459703751028,-8.02465526779422,-0.042434066395861,-0.0424515786680817,-0.0424515786680817,-0.045130649654608,-0.042434066395861
1977-04-01,-9.75626643787639,-10.4494136184363,-8.00955699626842,0,0,0,0,0
1977-07-01,-9.75397570983047,-10.4564279060689,-7.99637913276268,-0.349092359864353,-0.349092359864353,-1.04727707959306,-0.380910921260271,-0.349092359864353
1977-10-01,-9.74979305064358,-10.4602412256963,-8.00114970193768,0,0,0.677637947725073,0,0
1978-01-01,-9.74492850090025,-10.4661098623704,-8.00224498893602,0,0,0,0,0.13733115633935
1978-04-01,-9.69936030358792,-10.4549958078145,-7.96819700987451,0,0,0,0,0
1978-07-01,-9.68233031487043,-10.4591916893895,-7.96291540808124,0,0,0,0,0
1978-10-01,-9.66691804450691,-10.4502942559473,-7.95423290796272,0,0,0,0,0
1979-01-01,-9.65544859739367,-10.4569932205039,-7.95699333370742,-0.78228476821192,-0.78228476821192,-0.78228476821192,-0.879437904238984,-0.418208937469495
1979-04-01,-9.66120570507308,-10.457980298604,-7.96048684996661,0,0,0,0,0
1979-07-01,-9.66330089856185,-10.4655333450724,-7.95755219047639,0,0,0,0,0
1979-10-01,-9.66818644051953,-10.4494408885897,-7.9590291534459,0,0,0,0,0
1980-01-01,-9.66695386138818,-10.4248824092438,-7.96000077762758,0,0,0,0,0.0638960466802286
1980-04-01,-9.7022467000627,-10.4031824012402,-7.98491982561741,0.300873471361551,0.301016849601703,0.301016849601703,0.324417916139962,0.300873471361551
1980-07-01,-9.68840787399061,-10.4267026555009,-7.99015522826822,0,0,0,0,0
1980-10-01,-9.66862139184961,-10.405034014806,-7.97521409324202,0,0,0,0,0
1981-01-01,-9.62265472595018,-10.3959889247402,-7.95800738766703,0,0,0,0,0.730628065722224
1981-04-01,-9.63373437813619,-10.3733281789378,-7.9693841072089,0,0,0,0,0
1981-07-01,-9.62890657469337,-10.3843910281285,-7.9604755385393,-0.288415523781733,-0.288558181759232,-0.865674545277697,-0.319388194743645,-0.288415523781733
1981-10-01,-9.67173723662811,-10.361478419345,-7.97614979921546,0,0,0.560276990871892,0,0
1982-01-01,-9.70366303845766,-10.3625853753025,-7.99584893018544,0,0,0,0,-1.3522396469152
1982-04-01,-9.7096917234189,-10.3565529762216,-7.99358621995318,0,0,0,0,0
1982-07-01,-9.7435027277901,-10.3502496449156,-8.00032398402644,0,0,0,0,0
1982-10-01,-9.75177510347804,-10.3179225932767,-8.00242429387945,0,0,0,0,0
1983-01-01,-9.75049066583181,-10.3113076551129,-7.99292256135204,0,0,0,0,-0.932830188679245
1983-04-01,-9.71832500676136,-10.2938900961045,-7.97357363115552,0,0,0,0,0
1983-07-01,-9.74324947418694,-10.2724314251142,-7.95691142863841,0,0,0,0,0
1983-10-01,-9.72961715612849,-10.3162349138256,-7.93934785881687,0,0,0,0,0
1984-01-01,-9.69334776111224,-10.2838219768651,-7.9229994928215,0,0,0,0,-0.650741574252325
1984-04-01,-9.68806059658291,-10.2550991931951,-7.90874166177537,0,0,0,0,0
1984-07-01,-9.68893823474983,-10.2624683427587,-7.90189599211429,0.204684122737117,0,0.204797378593554,0.222898048186,0.204684122737117
1984-10-01,-9.67718032509411,-10.2360609810402,-7.89661233511237,0,0,0,0,0
1985-01-01,-9.61980020574427,-10.2265297115219,-7.8900531171539,0,0,0,0,0.218023966315716
1985-04-01,-9.68999253911342,-10.2111667859386,-7.8844157993857,0,0,0,0,0
1985-07-01,-9.63717505490068,-10.1865171889804,-7.87181188099241,0,0,0,0,0
1985-10-01,-9.63646322316107,-10.1866816529566,-7.86711949220079,0,0,0,0,0
1986-01-01,-9.63358729166875,-10.202417557087,-7.86041092756315,0,0,0,0,0.097180527233473
1986-04-01,-9.63621516214315,-10.1792293460625,-7.85926678903348,0,0,0,0,0
1986-07-01,-9.62615908404642,-10.1485134811082,-7.85207692640148,0,0,0,0,0
1986-10-01,-9.60221672274291,-10.1712096724909,-7.8496711942043,0.505421592857302,0.505421592857302,0.505421592857302,0.525621135989997,0.505421592857302
1987-01-01,-9.60947504906138,-10.1699761845535,-7.84655129758792,-0.158475117205555,-0.158475117205555,-0.158475117205555,-0.164293537787514,-0.158475117205555
1987-04-01,-9.53451207959991,-10.162684533999,-7.83837891537603,0,0,0,0,0
1987-07-01,-9.55243848073174,-10.1685334107844,-7.8318983876915,0,0,0,0,-0.426739496874133
1987-10-01,-9.54211844273239,-10.1632123056523,-7.81707611131546,0,0,0,0,0
1988-01-01,-9.53681803728742,-10.18949181865,-7.81407568853493,0.221170977452848,0,0.221170977452848,0.234217431849233,0.391144969384203
1988-04-01,-9.53650462569204,-10.2033838794314,-7.80345067670121,0,0,0,0,0
1988-07-01,-9.53273116313526,-10.2230240218539,-7.80038314836149,0,0,0,0,0
1988-10-01,-9.52340061213085,-10.2002837919907,-7.78918036405884,0,0,0,0,0
1989-01-01,-9.49200995725336,-10.2174450578643,-7.78191205801681,0,0,0,0,0
1989-04-01,-9.50468532000993,-10.2038385246301,-7.77650582993048,0,0,0,0,0
1989-07-01,-9.50323165744847,-10.1971964995421,-7.77109161966012,0,0,0,0,0
1989-10-01,-9.49768549608446,-10.2122031856671,-7.77136888124419,0,0,0,0,0
1990-01-01,-9.5036258952979,-10.1968729111297,-7.76343823320116,0,0,0,0,0.184531594317144
1990-04-01,-9.50070722749063,-10.2005513013085,-7.76192315042916,0,0,0,0,0
1990-07-01,-9.4998952704367,-10.2146876817332,-7.76494661193946,0,0,0,0,0
1990-10-01,-9.5129336522405,-10.1998864653362,-7.77673478779299,0,0,0,0,0
1991-01-01,-9.52991523274168,-10.1925564506271,-7.78457682894821,0.602121108450222,0,0.602121108450222,0.616667542614881,0.602121108450222
1991-04-01,-9.53774920958164,-10.1979153384531,-7.78083348472539,0,0,0,0,0
1991-07-01,-9.54055151592634,-10.2195303568531,-7.77971586937101,0,0,0,0,0
1991-10-01,-9.53810297667811,-10.2414064196845,-7.77888179957504,0,0,0,0,0
1992-01-01,-9.53261902356865,-10.2371149168135,-7.77104217973197,0,0,0,0,0
1992-04-01,-9.52782657418762,-10.2402609362737,-7.76351759712489,0,0,0,0,0
1992-07-01,-9.52735050861979,-10.2297381910792,-7.75626877354406,0,0,0,0,0
1992-10-01,-9.50674414203696,-10.2387797997453,-7.74880922262881,0,0,0,0,0
1993-01-01,-9.52379283027212,-10.2695375037375,-7.74997819237483,0,0,0,0,0
1993-04-01,-9.49213465892439,-10.2854654669626,-7.746597287391,0,0,0,0,0
1993-07-01,-9.49184042412935,-10.293969045393,-7.7442876131374,0.344270463708155,0,1.03281139112447,0.356824264049955,0.344270463708155
1993-10-01,-9.45528011540628,-10.2919132394062,-7.73411486478107,0.0792428569292645,0,-0.6025447423112,0.0816188246889245,0.0792428569292645
1994-01-01,-9.46961793151336,-10.330660189157,-7.72734859065919,0,0,0,0,0.196659719980041
1994-04-01,-9.43882735244097,-10.3324951730747,-7.71668801559141,0,0,0,0,0
1994-07-01,-9.44184984647144,-10.3145269380179,-7.71338545196296,0,0,0,0,0
1994-10-01,-9.42999863799322,-10.3435840542078,-7.70543688117467,0,0,0,0,0
1995-01-01,-9.42268534174052,-10.3429825656668,-7.70607135029115,0,0,0,0,0
1995-04-01,-9.40871481271112,-10.3531657725484,-7.70701408591171,0,0,0,0,0
1995-07-01,-9.40989217778132,-10.364027200844,-7.70174347607078,0,0,0,0,0
1995-10-01,-9.4054564866465,-10.3913932152349,-7.69788704990942,0,0,0,0,0
1996-01-01,-9.38731335284112,-10.3661278858692,-7.69411750539093,0,0,0,0,0
1996-04-01,-9.3566966361898,-10.3673553071503,-7.68004997406225,0,0,0,0,0
1996-07-01,-9.35680588151022,-10.3876659344377,-7.67470040784918,0,0,0,0,0
1996-10-01,-9.34550835494554,-10.3928440416269,-7.66712653619023,0,0,0,0,0
1997-01-01,-9.32763744924739,-10.4061873366212,-7.66273852996033,0,0,0,0,0
1997-04-01,-9.31176759417895,-10.3930484264954,-7.65129579798798,0,0,0,0,0
1997-07-01,-9.29558567120753,-10.4018073023986,-7.64203752662969,0,0,0,0,0
1997-10-01,-9.28766751619795,-10.4049419048997,-7.63759472115225,0,0,0,0,0
1998-01-01,-9.27517658583013,-10.4380867507062,-7.6313663139957,0,0,0,0,0
1998-04-01,-9.26492637262792,-10.4146293672258,-7.62560484030004,0,0,0,0,0
1998-07-01,-9.25074070881136,-10.4271656623793,-7.6155768374271,0,0,0,0,0
1998-10-01,-9.24130166098488,-10.4218568343432,-7.6014987504708,0,0,0,0,0
1999-01-01,-9.23048679756395,-10.4232551590245,-7.59568791422261,0,0,0,0,0
1999-04-01,-9.22618944660292,-10.4241179322286,-7.59095862557706,0,0,0,0,0
1999-07-01,-9.21628677061392,-10.4042981918496,-7.58126138380448,0,0,0,0,0
1999-10-01,-9.19859096228868,-10.3818217098388,-7.56639321441573,0,0,0,0,0
2000-01-01,-9.16757073208499,-10.4153426028752,-7.56669587671801,0,0,0,0,0.0176941411576132
2000-04-01,-9.16876358258877,-10.386986225832,-7.55027903272613,0,0,0,0,0
2000-07-01,-9.16829905633715,-10.4027484998219,-7.55265274264684,0,0,0,0,0
2000-10-01,-9.16750315146887,-10.4113736496402,-7.54995727403154,0,0,0,0,0
2001-01-01,-9.17081694154764,-10.3957695363428,-7.55643821502302,0,0,0,0,0
2001-04-01,-9.18672557024374,-10.3817874245165,-7.5530875801707,0,0,0,0,0
2001-07-01,-9.29222135271311,-10.3756285744725,-7.55895853125015,0,0,0,0,0
2001-10-01,-9.2416513198105,-10.3639423627589,-7.55855546271754,0,0,0,0,0
2002-01-01,-9.32295326572692,-10.323240801884,-7.55313501668222,0,0,0,0,-0.794362341055229
2002-04-01,-9.33049288888586,-10.3058579521103,-7.55089284947728,0,0,0,0,0
2002-07-01,-9.34084834989309,-10.2968422714933,-7.54868699459899,0,0,0,0,0
2002-10-01,-9.34382486262267,-10.2772167594118,-7.55118267008961,0,0,0,0,0
2003-01-01,-9.34241238972962,-10.2587582772807,-7.54984431988781,0,0,0,0,0
2003-04-01,-9.34006200127997,-10.214852557446,-7.54422579652548,0,0,0,0,0
2003-07-01,-9.39059271272765,-10.2193682102407,-7.53092880956539,-1.14788041701478,-1.14788041701478,-2.87696610846743,-1.18112075651532,-1.14788041701478
2003-10-01,-9.34439733965865,-10.2168121123117,-7.52494245348041,0,0,1.6916775506215,0,0
2004-01-01,-9.34307598206134,-10.1883134143585,-7.5213905994956,0,0,0,0,0
2004-04-01,-9.33070500464285,-10.1814989159702,-7.51797550788066,0,0,0,0,0
2004-07-01,-9.31355413242441,-10.1687374659715,-7.51372789867153,0,0,0,0,0
2004-10-01,-9.30795878744152,-10.1848245911837,-7.50872334424486,0,0,0,0,0
2005-01-01,-9.24662197021345,-10.1647208112522,-7.5016097304394,0,0,0,0,0.561700442926781
2005-04-01,-9.24592117779304,-10.1685112155056,-7.50029692290063,0,0,0,0,0
2005-07-01,-9.23717190812022,-10.1512456669329,-7.49545658360415,0,0,0,0,0
2005-10-01,-9.22279175213499,-10.1764086371245,-7.4933961964257,0,0,0,0,0
2006-01-01,-9.19077177097624,-10.1353709877722,-7.48389778636524,0,0,0,0,0
2006-04-01,-9.19227369053006,-10.1451854089687,-7.48289010351878,0,0,0,0,0
2006-07-01,-9.18467687774257,-10.1528485879673,-7.48494121566072,0,0,0,0,0
2006-10-01,-9.18077360827667,-10.1555207204947,-7.48036672201139,0,0,0,0,0
