"year","p90_100","p95_100","p99_100","p99_5_100","p99_9_100","p99_99_100","p90_95","p95_99","p99_99_5","p99_5_99_9","p99_9_99_99"
1939,44.5688981729636,31.2866097058345,15.393035953166,11.365322329434,5.45096499254963,1.74126029844716,13.282288467129,15.8935737526685,4.02771362373203,5.91435733688437,3.70970469410246
1940,44.4266375047431,31.2881497010535,15.7339880746339,11.6613041454895,5.57319620809119,1.77403784590743,13.1384878036896,15.5541616264196,4.07268392914435,6.08810793739834,3.79915836218375
1941,41.0193145763531,29.0172061188534,15.0079783779967,11.1483723273858,5.28938922106923,1.62904807516231,12.0021084574997,14.0092277408566,3.8596060506109,5.85898310631659,3.66034114590692
1942,35.4941831193665,25.1073982256624,12.9054410636388,9.59502037642814,4.47707387279018,1.32169909237434,10.3867848937041,12.2019571620236,3.31042068721062,5.11794650363796,3.15537478041583
1943,32.6699231988766,23.0207622634159,11.4846537213808,8.42886193268158,3.78326869131054,0.972670872564625,9.6491609354607,11.5361085420351,3.05579178869922,4.64559324137104,2.81059781874591
1944,31.5488699492282,21.7582838830582,10.5386700002579,7.60361850901455,3.32742289347884,0.924091136095122,9.79058606617004,11.2196138828002,2.93505149124338,4.27619561553572,2.40333175738371
1945,32.6445887062075,22.9034316444154,11.0711939488099,7.86882864707424,3.31886971735655,0.844914173347795,9.7411570617921,11.8322376956055,3.20236530173569,4.54995892971769,2.47395554400876
1946,34.6163940689304,24.6577402201265,11.7624257705476,8.28074932816505,3.43211676134227,0.916382567070993,9.95865384880384,12.8953144495789,3.48167644238257,4.84863256682279,2.51573419427127
1947,33.0171775934356,23.2994626478441,10.9538359238743,7.70749873171226,3.23569654449576,0.902894048966817,9.71771494559145,12.3456267239699,3.24633719216199,4.4718021872165,2.33280249552894
1948,33.7206376452028,23.6959792265937,11.2698724741439,8.02604863914972,3.43714397955433,0.953851185659535,10.0246584186091,12.4261067524498,3.24382383499422,4.5889046595954,2.48329279389479
1949,33.7630980951954,23.461915111456,10.946064706588,7.77002197042304,3.33675232306147,0.954430715222885,10.3011829837394,12.515850404868,3.17604273616496,4.43326964736156,2.38232160783859
1950,33.8711006103991,23.8712895925856,11.360065498283,8.1353358178591,3.53180142640955,0.826903306081205,9.99981101781349,12.5112240943027,3.22472968042387,4.60353439144955,2.70489812032834
1951,32.8199651016794,22.6701643151228,10.518335555719,7.41071904314674,3.11709112515463,0.865169333611165,10.1498007865566,12.1518287594038,3.10761651257224,4.29362791799211,2.25192179154347
1952,32.0739620975755,21.8468903278189,9.75832021655474,6.80780526462594,2.75591254643569,0.745716946133215,10.2270717697567,12.0885701112641,2.95051495192881,4.05189271819025,2.01019560030247
1953,31.3804318683562,21.0073424892119,9.08108977021864,6.26294666649047,2.50632130949151,0.672644671540106,10.3730893791443,11.9262527189933,2.81814310372817,3.75662535699896,1.8336766379514
1954,32.1193107315453,21.5606826820627,9.3904559145803,6.46923519078612,2.56633605623987,0.70588248853422,10.5586280494826,12.1702267674824,2.92122072379418,3.90289913454625,1.86045356770565
1955,31.7720745774613,21.3778360969247,9.18052826757127,6.28496725657504,2.48710882057968,0.720611634804991,10.3942384805366,12.1973078293535,2.89556101099623,3.79785843599535,1.76649718577469
1956,31.8060239901845,21.3475493842216,9.08697575765872,6.14399631336149,2.38291532779744,0.681153113623968,10.4584746059628,12.2605736265629,2.94297944429723,3.76108098556404,1.70176221417348
1957,31.6873093765545,21.1674998094338,8.98188515660215,6.07994903215372,2.35913850257539,0.663080522414254,10.5198095671207,12.1856146528317,2.90193612444843,3.72081052957834,1.69605798016113
1958,32.1122690969275,21.2600179164721,8.83357350019559,5.94226869980016,2.29273444933397,0.64243772482168,10.8522511804555,12.4264444162765,2.89130480039543,3.64953425046619,1.65029672451229
1959,32.0332879480249,21.024822758489,8.74785207852669,5.90034552278012,2.19127192999306,0.616176677252553,11.008465189536,12.2769706799623,2.84750655574657,3.70907359278705,1.57509525274051
1960,31.657437586134,20.5115316973401,8.35659009213576,5.52097935041721,2.09645478266581,0.596373218694061,11.1459058887939,12.1549416052043,2.83561074171855,3.4245245677514,1.50008156397175
1961,31.8962114739526,20.9068617516802,8.33760053839099,5.40931680164614,2.05339982806908,0.587037566337155,10.9893497222724,12.5692612132892,2.92828373674485,3.35591697357706,1.46636226173192
1962,32.043825702061,20.9428122172829,8.27367556707456,5.39915752416503,1.98411735304309,0.561620580729985,11.1010134847782,12.6691366502083,2.87451804290952,3.41504017112195,1.4224967723131
1963,32.0096223220015,20.895061215332,8.16393665761361,5.32969439130433,1.96355669917545,0.56800334450204,11.1145611066694,12.7311245577184,2.83424226630928,3.36613769212888,1.39555335467341
1964,31.6393178872088,20.623064231697,8.02075104626677,5.33322004580295,1.9689860769878,0.531289115556104,11.0162536555118,12.6023131854302,2.68753100046382,3.36423396881515,1.4376969614317
1965,31.5181882926993,20.699893083727,8.06506469440149,5.42190996116702,2.03718925192573,0.537866517272559,10.8182952089722,12.6348283893256,2.64315473323447,3.38472070924129,1.49932273465317
1966,31.9815451807518,20.9920587974096,8.36818430072932,5.58546116988554,2.15417365201153,0.602946668621911,10.9894863833422,12.6238744966803,2.78272313084378,3.43128751787401,1.55122698338962
1967,32.0458369736482,21.0729673795533,8.42533195266657,5.62930106572269,2.16000228639914,0.596471683217962,10.9728695940949,12.6476354268867,2.79603088694388,3.46929877932355,1.56353060318118
1968,31.982618841599,20.9763121916299,8.35194148590666,5.57852719798327,2.14545167445849,0.581572181982537,11.0063066499691,12.6243707057233,2.77341428792339,3.43307552352478,1.56387949247595
1969,31.8208757051207,20.680012828563,8.01742202142303,5.30356875286012,2.00115476356685,0.547129567477932,11.1408628765577,12.66259080714,2.7138532685629,3.30241398929327,1.45402519608892
1970,31.5136599453495,20.3876974644434,7.80384588644263,5.15607409280703,1.93777285199368,0.525339308758492,11.1259624809061,12.5838515780008,2.6477717936356,3.21830124081335,1.41243354323519
1971,31.7538845866267,20.4960205678548,7.78608166609168,5.12297219891361,1.91442019220774,0.518046459385404,11.2578640187719,12.7099389017631,2.66310946717807,3.20855200670587,1.39637373282233
1972,31.6233669720754,20.369344887545,7.75412687985188,5.0989755129187,1.91561910282546,0.520456001694618,11.2540220845303,12.6152180076932,2.65515136693318,3.18335641009324,1.39516310113085
1973,31.8536120048038,20.5706697384858,7.74199616755395,5.07052392763528,1.88635078924178,0.495219711242097,11.282942266318,12.8286735709319,2.67147223991867,3.1841731383935,1.39113107799968
1974,32.3595875272461,21.0365420623162,8.12361891708578,5.40914043110931,2.10688105615872,0.562964184279479,11.32304546493,12.9129231452304,2.71447848597647,3.30225937495059,1.54391687187924
1975,32.6211032406567,21.0252214435334,8.00588015016157,5.30845068864423,2.0380327831081,0.559708516893076,11.5958817971233,13.0193412933718,2.69742946151734,3.27041790553613,1.47832426621503
1976,32.4176637803734,20.8458667141275,7.88919619878135,5.23076239134774,2.01918481652624,0.561933603434702,11.5717970662458,12.9566705153462,2.65843380743361,3.21157757482151,1.45725121309153
1977,32.4347852351418,20.8333105222937,7.89922635740608,5.25166485107628,2.04161444220485,0.566205825081495,11.6014747128482,12.9340841648876,2.6475615063298,3.21005040887142,1.47540861712336
1978,32.4403455693034,20.8620768734632,7.95260898664963,5.30209499770136,2.07924630296456,0.580556645291427,11.5782686958402,12.9094678868136,2.65051398894827,3.2228486947368,1.49868965767313
1979,32.3456078961482,20.8299644089757,8.03240980373329,5.38494671173106,2.15786692680758,0.615324723662051,11.5156434871725,12.7975546052424,2.64746309200224,3.22707978492348,1.54254220314553
1980,32.8655054251636,21.1694877032183,8.17671462536805,5.50617878224376,2.23113852749561,0.654814245780515,11.6960177219453,12.9927730778502,2.67053584312429,3.27504025474815,1.5763242817151
1981,32.7173317129092,20.9690365634466,8.02607554692798,5.42302868008697,2.22533972400418,0.655962290763348,11.7482951494627,12.9429610165186,2.60304686684101,3.19768895608279,1.56937743324083
1982,33.2180189438648,21.395668558262,8.38993807169599,5.73196895084318,2.45028799175089,0.774728677729561,11.8223503856028,13.005730486566,2.65796912085281,3.28168095909229,1.67555931402133
1983,33.6913881394333,21.786377166359,8.59290264894751,5.93650532940477,2.60851928963775,0.871490989397619,11.9050109730743,13.1934745174115,2.65639731954274,3.32798603976702,1.73702830024013
1984,33.9471766681248,22.0967873055661,8.8863707222621,6.21666989790069,2.82983151737629,0.980880714308469,11.8503893625587,13.210416583304,2.66970082436141,3.3868383805244,1.84895080306782
1985,34.251769473311,22.3771947905831,9.0945605795137,6.39495753870692,2.91082881898719,0.970474391162551,11.874574682728,13.2826342110694,2.69960304080679,3.48412871971973,1.94035442782464
1986,34.5685788332791,22.5885294274976,9.1292990690664,6.38008688015592,2.86755289459759,0.996948805986818,11.9800494057815,13.4592303584312,2.74921218891047,3.51253398555833,1.87060408861077
1987,36.4828824110286,24.4892917278909,10.7462606333059,7.76223312438589,3.72609421456231,1.3010161292536,11.9935906831376,13.7430310945851,2.98402750891999,4.03613890982359,2.42507808530871
1988,38.6266739312407,26.9485445272657,13.1654807954394,9.96243372477935,5.21318680192422,1.99031329376248,11.678129403975,13.7830637318263,3.20304707066001,4.74924692285514,3.22287350816174
1989,38.4707296898585,26.6634495825125,12.6114944786894,9.37189131073039,4.73955994678809,1.740459054025,11.807280107346,14.0519551038231,3.23960316795905,4.6323313639423,2.99910089276309
1990,38.8368455898338,27.0539690665309,12.9816472524931,9.71365566960301,4.89843733275509,1.82567689063148,11.7828765233029,14.0723218140378,3.26799158289006,4.81521833684793,3.07276044212361
1991,38.3809812518281,26.4297153905971,12.1673794483765,8.90089638681778,4.35712850755825,1.60795011417191,11.951265861231,14.2623359422206,3.2664830615587,4.54376787925953,2.74917839338634
1992,39.8179005377358,27.8805317063871,13.47974486147,10.1117833333071,5.21386835271032,2.01681694243592,11.9373688313487,14.4007868449171,3.36796152816286,4.89791498059682,3.1970514102744
1993,39.4816898550762,27.4117001328987,12.8212599201789,9.45196903173243,4.71577998835726,1.73759778843185,12.0699897221775,14.5904402127197,3.36929088844651,4.73618904337517,2.97818219992541
1994,39.5968519785061,27.5029648623805,12.8521198534133,9.44807331516836,4.70475494181799,1.73225057274841,12.0938871161256,14.6508450089673,3.4040465382449,4.74331837335037,2.97250436906958
1995,40.542,28.461,13.528,9.988,4.983,1.815,12.081,14.933,3.54,5.005,3.168
1996,41.155,29.16,14.107,10.486,5.325,1.973,11.995,15.053,3.621,5.161,3.352
1997,41.725,29.852,14.771,11.122,5.806,2.195,11.873,15.081,3.649,5.316,3.611
1998,42.124,30.358,15.294,11.61,6.2,2.406,11.766,15.064,3.684,5.41,3.794
1999,42.668,30.968,15.873,12.156,6.635,2.633,11.7,15.095,3.717,5.521,4.002
2000,43.108,31.511,16.494,12.783,7.127,2.841,11.597,15.017,3.711,5.656,4.286
2001,42.229,30.399,15.371,11.708,6.258,2.402,11.83,15.028,3.663,5.45,3.856
2002,42.364,30.362,14.989,11.262,5.935,2.301,12.002,15.373,3.727,5.327,3.634
2003,42.762,30.655,15.214,11.466,6.109,2.438,12.107,15.441,3.748,5.357,3.671
2004,43.643,31.708,16.337,12.509,6.905,2.87,11.935,15.371,3.828,5.604,4.035
2005,44.939,33.123,17.681,13.722,7.761,3.288,11.816,15.442,3.959,5.961,4.473
2006,45.498,33.589,18.059,14.034,7.918,3.323,11.909,15.53,4.025,6.116,4.595
2007,45.666,33.844,18.327,14.315,8.161,3.529,11.822,15.517,4.012,6.154,4.632
2008,45.963,33.777,17.892,13.864,7.816,3.373,12.186,15.885,4.028,6.048,4.443
2009,45.468,32.808,16.679,12.711,7.039,3.065,12.66,16.129,3.968,5.672,3.974
2010,46.352,33.732,17.451,13.397,7.516,3.31,12.62,16.281,4.054,5.881,4.206
2011,46.63,33.977,17.467,13.367,7.379,3.158,12.653,16.51,4.1,5.988,4.221
2012,47.759,35.348,18.875,14.702,8.356,3.645,12.411,16.473,4.173,6.346,4.711
2013,46.698,34.097,17.425,13.324,7.319,3.091,12.601,16.672,4.101,6.005,4.228
2014,46.856,34.415,17.802,13.671,7.543,3.161,12.441,16.613,4.131,6.128,4.382
2015,47.154,34.739,18.048,13.888,7.715,3.292,12.419,16.696,4.161,6.175,4.424
2016,47.254,34.664,17.725,13.548,7.428,3.121,12.626,16.986,4.19,6.137,4.319
2017,47.443,35.014,18.173,13.992,7.816,3.404,12.429,16.841,4.181,6.176,4.412
2018,47.701,35.29,18.351,14.141,7.922,3.441,12.411,16.939,4.21,6.219,4.481
2019,47.117,34.652,17.587,13.365,7.213,2.918,12.465,17.065,4.222,6.152,4.295
2020,49.454,36.707,19.197,14.834,8.362,3.604,12.747,17.51,4.363,6.472,4.758
2021,50.771,38.507,21.191,16.645,9.702,4.469,12.264,17.316,4.546,6.943,5.233
2022,48.672,36.389,19.28,14.926,8.466,3.631,12.283,17.109,4.354,6.46,4.835
2023,47.877,35.447,18.272,13.945,8.031,3.288,12.43,17.175,4.327,5.914,4.743
2024,48.276,35.844,18.49,14.341,8.132,3.351,12.432,17.354,4.149,6.209,4.781
