"sex","pctile","count","hh_inc","hh_inc_age40","le_agg","le_raceadj","sd_le_agg","sd_le_raceadj"
"F",84,7207058,125520.73,124567.03,87.193192,87.065651,0.083568409,0.098230235
"F",85,7207324,129572.01,128336.9,87.257973,87.118752,0.078216575,0.096020594
"F",86,7208142,133992.45,132453.36,87.498955,87.348778,0.078987375,0.0962497
"F",87,7209506,138842.64,137000.19,87.585754,87.428345,0.080382653,0.099497043
"F",88,7209209,144239.03,142026.27,87.543465,87.383148,0.083378069,0.10282401
"F",89,7209825,150285.36,147688.14,87.663574,87.50238,0.078524545,0.10121664
"F",90,7209379,157146.42,154137.17,87.62001,87.457458,0.081141956,0.10340764
"F",91,7211260,165094.31,161546.53,87.948654,87.787979,0.080756217,0.10105042
"F",92,7211488,174413.25,170323.73,87.989685,87.829918,0.07858818,0.098891191
"F",93,7212394,185646.83,180874.39,88.178932,88.026321,0.07748159,0.10066254
"F",94,7213189,199593.39,193912.8,88.182495,88.040558,0.082263976,0.10182074
"F",95,7213729,217631.41,210704.66,88.428558,88.30172,0.07814683,0.099209704
"F",96,7214680,242346.13,233412.56,88.515488,88.408363,0.079773024,0.092569813
"F",97,7215130,279176.41,266539.31,88.620956,88.532875,0.077472679,0.093915567
"F",98,7214824,341872.38,321656.34,88.534309,88.464188,0.081412837,0.098390244
"F",99,7215914,477420.56,437837.34,88.667274,88.611084,0.079438992,0.094964854
"F",100,7217115,1923274.5,1532600.6,88.913246,88.87484,0.077513881,0.08947885
"M",1,6767752,356.23605,284.14658,72.374809,72.742783,0.042175848,0.057907503
"M",2,6796273,1602.8466,1198.6199,74.224281,74.495567,0.045743242,0.056516465
"M",3,6810846,3222.1968,2463.7222,75.25354,75.451134,0.047028929,0.055741057
"M",4,6819310,4904.6826,3878.3909,75.69355,75.838097,0.048603296,0.055749863
"M",5,6823613,6551.4185,5331.4663,75.92894,76.033356,0.051366013,0.056554839
"M",6,6825662,8128.4995,6765.5674,76.107384,76.18174,0.051603757,0.054615978
"M",7,6829004,9651.2236,8171.8354,76.232414,76.283913,0.051850908,0.055801414
"M",8,6828386,11102.864,9488.6436,76.157967,76.194641,0.05315331,0.055615064
"M",9,6831289,12530.997,10751.088,76.326729,76.345612,0.052309062,0.05424162
"M",10,6834092,13934.429,12055.409,76.379341,76.386444,0.053012628,0.055344515
"M",11,6836389,15274.932,13282.646,76.469673,76.465477,0.049760699,0.052039262
"M",12,6837379,16571.986,14463.595,76.572769,76.56031,0.051373709,0.053357419
"M",13,6841654,17837.727,15658.633,76.763336,76.746368,0.051487539,0.05294089
"M",14,6843245,19076.293,16825.219,76.847725,76.835167,0.053142522,0.054658793
"M",15,6845643,20294.512,17964.014,77.007263,76.996086,0.052398238,0.05286555
"M",16,6847732,21496.193,19093.236,77.115616,77.105881,0.053958651,0.054608751
"M",17,6849732,22682.994,20214.332,77.367546,77.360229,0.051335674,0.05216451
"M",18,6852279,23857.902,21326.664,77.425125,77.423584,0.052712142,0.052810069
"M",19,6855574,25022.801,22423.338,77.626183,77.628639,0.053400602,0.053458966
"M",20,6856197,26177.057,23501.727,77.69313,77.703575,0.056505591,0.056675002
"M",21,6861736,27327.514,24568.869,77.904846,77.927811,0.05653799,0.056667481
"M",22,6862527,28473.465,25636.412,78.106911,78.139633,0.055438049,0.055681702
"M",23,6864806,29616.375,26694.445,78.205818,78.252319,0.058096513,0.058145888
"M",24,6866832,30757.887,27748.85,78.356895,78.414093,0.058579113,0.058128357
"M",25,6867995,31896.166,28801.732,78.415718,78.481789,0.058604769,0.060216647
"M",26,6869276,33034.363,29851.441,78.520538,78.590752,0.05872665,0.058934502
"M",27,6874109,34173.426,30901.074,78.69548,78.769287,0.058487114,0.059138704
"M",28,6875706,35314.789,31950.908,78.900833,78.977295,0.059992995,0.062063407
"M",29,6876965,36459.512,32999.113,79.016586,79.092667,0.059368581,0.06034315
"M",30,6878875,37609.094,34049.137,79.09491,79.176361,0.057026453,0.05862502
"M",31,6879479,38764.82,35105.781,79.243614,79.323257,0.059474364,0.059843317
"M",32,6883552,39928.184,36170.027,79.434822,79.515266,0.060521144,0.061762627
"M",33,6884824,41097.152,37241.461,79.52578,79.612602,0.061201323,0.06345921
"M",34,6886239,42275.32,38321.246,79.7201,79.810608,0.062599994,0.064956151
"M",35,6889945,43462.5,39402.367,79.955757,80.051407,0.060844377,0.063377589
"M",36,6890506,44657.684,40491.609,80.030342,80.133301,0.061892893,0.064468592
"M",37,6891882,45862.383,41596.773,80.146179,80.254005,0.061216429,0.062957771
"M",38,6893857,47077.191,42717.871,80.2911,80.403297,0.063643545,0.065771692
"M",39,6894253,48302.051,43850.457,80.337631,80.452446,0.06639345,0.068160906
"M",40,6898066,49537.543,44994.859,80.612381,80.728638,0.063021608,0.064800166
"M",41,6897803,50782.457,46147,80.709496,80.828781,0.063694268,0.066410534
"M",42,6899195,52038.016,47316.102,80.644485,80.770714,0.063363768,0.065496996
"M",43,6901046,53304.93,48496.316,80.860489,80.980652,0.065851286,0.068755798
"M",44,6900699,54582.125,49695.637,80.953239,81.068611,0.064384423,0.066482909
"M",45,6902621,55873.73,50911.402,80.939224,81.049263,0.062367156,0.065050572
"M",46,6905172,57182.125,52143.855,81.212578,81.314552,0.064222604,0.066489138
"M",47,6905733,58504.895,53392.063,81.169899,81.274391,0.063962787,0.067668356
"M",48,6906993,59841.383,54651.609,81.346886,81.449295,0.064417131,0.068533435
"M",49,6907669,61196.598,55933.895,81.418091,81.521461,0.066585876,0.06854748
"M",50,6910251,62567.414,57237.016,81.587021,81.688477,0.064972334,0.06710317
"M",51,6911083,63957.652,58558.703,81.595078,81.698517,0.067045741,0.069403082
"M",52,6913299,65363.465,59900.039,81.759865,81.86348,0.068250917,0.070721045
"M",53,6911525,66788.203,61262.887,81.715172,81.824135,0.067234151,0.069383308
"M",54,6913883,68230.164,62647.586,81.752861,81.865944,0.069914937,0.073004797
"M",55,6914370,69692.43,64051.918,81.884537,82.00383,0.068975031,0.07121443
"M",56,6916724,71172.32,65475.941,82.067322,82.190987,0.069835775,0.073027983
"M",57,6916792,72675,66923.328,82.163727,82.291275,0.070266493,0.073946401
"M",58,6917326,74199.188,68389.352,82.125572,82.260201,0.070738576,0.073599592
"M",59,6919174,75745.023,69873.297,82.391403,82.523506,0.069845587,0.073875517
"M",60,6920258,77315.844,71378.813,82.432526,82.565392,0.070351169,0.073486961
"M",61,6919780,78913.352,72908.977,82.330841,82.467522,0.070741951,0.073450714
"M",62,6921973,80537.141,74460.664,82.571266,82.705292,0.072592169,0.076030716
"M",63,6922674,82191.188,76032.93,82.700287,82.832634,0.070338473,0.073089637
"M",64,6923788,83879.477,77628.938,82.681137,82.815758,0.071461886,0.072899103
"M",65,6923807,85602.133,79259.109,82.808121,82.941589,0.070494927,0.075027026
"M",66,6924523,87363.227,80916.805,82.800064,82.935471,0.070571832,0.073903285
"M",67,6925999,89165.438,82607.828,82.924309,83.061722,0.075639278,0.078874208
"M",68,6927788,91008.148,84330.305,83.189896,83.324867,0.072356135,0.074305102
"M",69,6928682,92900.656,86099.063,83.13884,83.280632,0.072488673,0.075715259
"M",70,6927859,94846.938,87905.766,83.226288,83.367409,0.07403484,0.077144489
"M",71,6929822,96849.305,89756.68,83.445694,83.581123,0.072323948,0.077137023
"M",72,6929837,98912.609,91660.289,83.509468,83.641838,0.070837975,0.073964357
"M",73,6932036,101042.92,93621.797,83.625847,83.755814,0.074423939,0.078293808
"M",74,6932490,103248.19,95646.594,83.511581,83.644539,0.074344382,0.077530801
"M",75,6934106,105535.15,97745.93,83.65654,83.785507,0.073015913,0.077759899
"M",76,6934238,107917.69,99924.336,83.912292,84.03373,0.073078841,0.077651076
"M",77,6934767,110408.85,102184.44,83.875977,83.996078,0.074084789,0.078321852
"M",78,6935314,113023.86,104538.02,83.893959,84.01062,0.07452713,0.080176517
"M",79,6936617,115778.89,106999.15,84.045639,84.152626,0.075908132,0.080973968
"M",80,6937262,118698.63,109582.64,84.085907,84.18438,0.077022858,0.082798623
"M",81,6937663,121803.95,112321.42,84.179222,84.271248,0.076315939,0.083318718
"M",82,6939328,125121.43,115227.73,84.291695,84.380028,0.076114409,0.082238622
"M",83,6939339,128689.79,118331.09,84.387131,84.472183,0.078074522,0.084489398
"M",84,6940913,132561.69,121671.8,84.562531,84.644356,0.075182416,0.083274692
"M",85,6941815,136756.72,125291.24,84.557716,84.640083,0.074365199,0.083402738
"M",86,6943845,141343.48,129250.91,85.005081,85.075737,0.075753026,0.082372524
"M",87,6943571,146401.91,133605.7,84.908417,84.98053,0.076579362,0.084348172
"M",88,6943644,152024.23,138460.41,84.984032,85.054001,0.078297123,0.086388826
"M",89,6946907,158352.88,143899.63,85.17482,85.242142,0.077837206,0.087555856
"M",90,6947459,165601.3,150088.88,85.338707,85.406281,0.076442197,0.084777087
"M",91,6948512,173989.84,157191.73,85.549103,85.619408,0.074461333,0.085121498
"M",92,6949788,183888.7,165510.94,85.751205,85.827942,0.077375323,0.087150231
"M",93,6950928,195871.19,175546.45,85.837265,85.922646,0.076057211,0.086419843
"M",94,6952574,210823.7,187899.53,86.07708,86.16806,0.077198699,0.085199006
"M",95,6952182,230266.56,203683.39,86.049957,86.152,0.076070406,0.087305963
"M",96,6953071,257052.05,224907.72,86.21402,86.32386,0.075620256,0.08460626
"M",97,6954378,297207.38,255743.27,86.406082,86.524048,0.077476598,0.08440759
"M",98,6956188,365424.25,306493.94,86.643265,86.770035,0.078087099,0.085943438
"M",99,6956929,511691.75,412577.44,86.771149,86.913025,0.074040934,0.080363333
"M",100,6958600,1982300,1406782.6,87.192719,87.33625,0.071876787,0.077815235
