code,euro1900,avexpr,logpgp95,cons1,democ00a,cons00a,extmort4,logem4,loghjypl,baseco
IDN,0.0,7.590909,8.070906,1.0,0.0,1.0,170.0,5.1357985,-2.207275,1
IL,,,,,,,,,,
IMY,,,,,,,,,,
IN,,,,,,,,,,
IND,0.0,8.272727,7.326,7.0,0.0,1.0,48.63,3.8842406,-2.453408,1
IRL,,9.727273,9.769384,,,,,,-0.549913,
IRN,0.0,4.7727275,8.605204,,,,,,-1.22078,
IRQ,0.0,1.6363636,,,,,,,,
ISL,100.0,9.727273,9.943669,,,,,,-0.3147107,
ISR,0.0,8.545455,9.784141,,,,,,-0.41703176,
ITA,100.0,9.454545,9.897972,,,,,,-0.18152189,
JAM,1.9,7.090909,8.188689,7.0,0.0,1.0,130.0,4.8675346,-2.040221,1
JAP,,,,,,,,,,
JOR,0.0,6.7727275,8.171882,,,,,,-0.87707,
JPN,0.0,9.727273,10.034077,,,,,,-0.53273046,
KAZ,,,8.131531,,,,,,,
KEN,0.0,6.0454545,7.056175,5.0,0.0,1.0,145.0,4.9767337,-2.8824036,1
KGZ,,,7.575585,,,,,,,
KHM,,,7.1228666,,,,,,,
KIR,,,,,,,,,,
KNA,10.0,,8.890135,,,,85.0,,,
KOR,0.0,8.636364,9.415728,,,,118.0,4.7706847,-0.967584,
KWT,0.0,7.0454545,9.803667,,,,,,,
KY,,,,,,,,,,
LA,,,,,,,,,,
LAO,0.0,,7.090077,5.0,0.0,1.0,140.0,4.9416423,,
LBN,,,8.637639,,,,,,,
LBR,0.0,3.6363637,,7.0,1.0,4.0,483.0,6.1800165,,
LBY,0.0,5.2727275,,3.0,0.0,1.0,,,,
LCA,10.0,,8.558335,,,,85.0,,,
LIE,,,,,,,,,,
LKA,0.0,6.0454545,7.7319307,7.0,0.0,1.0,69.8,4.245634,-1.8643302,1
LSO,0.0,,7.3065314,7.0,0.0,1.0,,,-2.7646205,
LTU,100.0,,8.237479,,,,,,,
LUX,100.0,10.0,10.28875,,,,,,-0.014098923,
LVA,100.0,,8.154788,,,,,,,
MA,,,,,,,,,,
MAC,,,,,,,,,,
MAR,1.0,7.090909,8.042378,1.0,1.0,1.0,78.2,4.3592696,-1.6766466,1
MCO,,,,,,,,,,
MD,,,,,,,,,,
MDA,100.0,,7.377759,,,,,,,
MDG,0.0,4.4545455,6.8351846,4.0,0.0,1.0,536.04,6.284209,-3.194183,1
MDV,,,8.116715,,,,,,,
ME,,,,,,,,,,
MEX,15.000001,7.5,8.943768,3.0,0.0,1.0,71.0,4.26268,-0.83701754,1
MHL,,,,,,,,,,
MI,,,,,,,,,,
MKD,100.0,,8.061487,,,,,,,
MLI,0.0,4.0,6.565265,3.0,0.0,1.0,2940.0,7.986165,-3.3524072,1
MLT,,7.2272725,9.427063,,,,16.3,2.791165,-0.77002823,1
MMR,0.0,5.7727275,,7.0,0.0,1.0,34.6,3.5438535,-3.5404594,
MNG,0.0,7.3636365,7.2997975,,,,,,,
MNP,,,,,,,,,,
MO,,,,,,,,,,
MOZ,2.5,6.5,6.461468,2.0,0.0,1.0,,,-3.2441936,
MRT,0.0,,7.4145727,5.0,0.0,1.0,280.0,5.6347895,-2.9957323,
MS,,,,,,,,,,
MTQ,20.0,,9.54,,,,,,,
MUS,5.0,,9.053686,7.0,0.0,1.0,30.5,3.4177268,-1.3394108,
MWI,2.7,6.818182,6.461468,1.0,0.0,1.0,,,-3.506558,
MYS,0.0,7.9545455,8.8942585,7.0,0.0,1.0,17.7,2.8735647,-1.3205067,1
MYT,,,,,,,,,,
NAM,0.0,,8.515191,3.0,0.0,1.0,,,-1.6398971,
NC,,,,,,,,,,
NCL,,,,,,,,,,
NER,0.0,5.0,6.733402,3.0,0.0,1.0,400.0,5.9914646,-3.5404594,1
NGA,0.0,5.5454545,6.8134446,7.0,0.0,1.0,2004.0,7.6029005,-3.0365543,1
NH,,,,,,,,,,
NIC,20.0,5.2272725,7.544332,1.0,1.0,1.0,163.3,5.095589,-2.0714734,1
NJ,,,,,,,,,,
NLD,100.0,10.0,9.896966,,,,,,-0.21567154,
NOR,100.0,9.954545,10.023933,,,,,,-0.2757535,
NPL,0.0,,6.937314,1.0,1.0,1.0,,,,
NY,,,,,,,,,,
NZL,93.0,9.727273,9.756147,7.0,10.0,7.0,8.55,2.1459312,-0.33267942,1
OAN,,,,,,,,,,
OH,,,,,,,,,,
OMN,0.0,7.1363635,9.208339,,,,,,-0.85802186,
PA,,,,,,,,,,
PAK,0.0,6.0454545,7.3524413,1.0,0.0,1.0,36.99,3.6106477,-2.0557249,1
PAN,20.0,5.909091,8.836374,3.0,0.0,1.0,163.3,5.095589,-1.5005835,1
PER,30.000002,5.7727275,8.396154,1.0,4.0,3.0,71.0,4.26268,-1.4396951,1
PHL,1.0,5.4545455,8.098643,3.0,0.0,1.0,,,-2.0714734,
PLW,,,,,,,,,,
PNG,0.0,7.2727275,,7.0,0.0,1.0,170.0,5.1357985,-2.5510464,
POL,100.0,7.681818,8.655214,,,,,,-1.4354845,
POR,,,,,,,,,,
PRI,,,,,,,,,-0.3410828,
PRK,0.0,,,,,,,,,
PRT,100.0,9.181818,9.489486,,,,,,-1.005122,
PRY,25.0,6.9545455,8.207947,1.0,1.0,2.0,78.1,4.3579903,-1.7719568,1
PYF,,,,,,,,,,
QAT,0.0,7.7272725,9.685331,,,,,,,
REU,,,,,,,,,-1.4439235,
RI,,,,,,,,,,
ROM,100.0,7.2727275,8.387085,,,,,,-2.1803675,
RUS,100.0,8.454545,8.405144,,,,,,-0.8746691,
RWA,0.0,,6.4769726,1.0,0.0,1.0,280.0,5.6347895,-3.1465552,
SAU,0.0,7.590909,9.2399,,,,,,-0.638659,
SC,,,,,,,,,,
SDN,0.0,4.0,7.3065314,7.0,0.0,1.0,88.2,4.479607,-2.7030625,1
SEN,0.0,6.0,7.4024515,3.0,0.0,1.0,164.66,5.103883,-2.6310892,1
SGP,4.0,9.318182,10.146434,7.0,0.0,1.0,17.7,2.8735647,-0.5008753,1
SLB,,,7.799753,,,,,,,
SLE,0.0,5.818182,6.253829,,,,483.0,6.1800165,-2.748872,1
SLV,20.0,5.0,7.948032,3.0,,3.0,78.1,4.3579903,-1.8515095,1
SOM,0.0,3.0,,7.0,0.0,1.0,,,-3.015935,
STP,100.0,8.409091,,,,,,,,
SUR,1.0,4.681818,8.01,,,1.0,32.18,3.4713452,-1.3704209,
SVK,100.0,,8.852236,,,,,,,
SVN,,,9.300181,,,,,,,
SWE,100.0,9.5,9.866304,,,,,,-0.23952703,
SWZ,0.0,,8.10772,2.0,0.0,1.0,,,-1.8078889,
SYC,0.0,,,,,,,,-1.5371172,
SYR,0.0,5.818182,8.029433,,,,,,-0.8255364,
TCD,0.0,,6.8351846,1.0,0.0,1.0,280.0,5.6347895,-3.4420192,
TGO,0.0,6.909091,7.222566,3.0,0.0,1.0,668.0,6.504288,-3.218876,1
THA,0.0,7.6363635,8.774931,,,,140.0,4.9416423,-1.8515095,
TJK,,,6.8875527,,,,,,,
TKM,,,7.6401234,,,,,,,
TN,,,,,,,,,,
TOG,,,,,,,,,,
TON,,,,,,,,,,
TTO,40.0,7.4545455,8.76873,7.0,0.0,1.0,85.0,4.4426513,-0.69715524,1
TUN,3.0,6.4545455,8.482602,1.0,0.0,1.0,63.0,4.1431346,-1.5278579,1
TUR,0.0,7.4545455,8.641179,,,,,,-1.5232602,
TWN,0.0,9.227273,,,,,,,-0.809681,
TX,,,,,,,,,,
TZA,0.0,6.6363635,6.253829,3.0,0.0,1.0,145.0,5.6347895,-3.4420192,1
UGA,0.0,4.4545455,6.9660244,7.0,0.0,1.0,280.0,5.6347895,-3.4420192,1
UKR,100.0,,7.8119736,,,,,,,
URY,60.000004,7.0,9.031214,1.0,1.0,1.0,71.0,4.26268,-1.0788096,1
USA,87.5,10.0,10.21574,7.0,10.0,7.0,15.0,2.7080503,0.0,1
UZB,,,7.8079166,,,,,,,
VA,,,,,,,,,,
VCT,10.0,,8.318742,,,,85.0,,,
VEN,20.0,7.1363635,9.071078,1.0,1.0,3.0,78.1,4.3579903,-0.7031975,1
VIR,,,,,,,,,,
VNM,0.0,6.409091,7.279319,1.0,0.0,1.0,140.0,4.9416423,,1
VT,,,,,,,,,,
VUT,,,8.140316,,,,,,,
WBG,,,,,,,,,,
WI,,,,,,,,,,
WSH,,,,,,,,,,
WSM,,,7.8671055,,,,,,,
YEM,0.0,6.3636365,6.6463904,,,,,,-1.551169,
YUG,100.0,6.318182,,,,,,,,
YUG,100.0,6.318182,,,,,,,-1.2039728,
ZAF,22.0,6.8636365,8.885994,3.0,3.0,3.0,15.5,2.74084,-1.3862944,1
ZAR,8.0,3.5,6.8669333,1.0,0.0,1.0,240.0,5.480639,-3.4112477,1
ZMB,3.0,6.6363635,6.8134446,3.0,0.0,1.0,,,-2.9759297,
ZWE,7.2,6.0,7.696213,7.0,0.0,1.0,,,-2.7333682,
ZWE,7.2,,,7.0,0.0,1.0,,,,
notIndonesia,,,,,,,,,,
